Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close
BA.N,2021-10-01,-0.6,-0.19813,-202.832,-136.501287033766,129208548791.7,15278000000.0,171806548791.7,20,2.18519,2.46154,1.527139,-132000000.0,265.79167,219.94
FOX.OQ,2022-10-01,1.21,1.14282,5.878,5.59055669309253,16317983803.04,3192000000.0,18831983803.04,23,2.43478,2.45833,3.747421,613000000.0,37.925,28.5
FOX.OQ,2022-07-01,0.74,0.75445,-1.915,5.29789913181788,17302199062.74,3033000000.0,19532199062.74,22,2.45833,2.34615,3.092855,308000000.0,42.275,29.7
FOX.OQ,2022-04-01,0.81,0.87791,-7.735,11.079723434065,21423212743.52,3455000000.0,24187212743.52,24,2.34615,2.30769,2.325202,290000000.0,46.30435,36.28
FOX.OQ,2022-01-01,0.13,0.03285,295.738,202.009132420091,20435627030.91,4441000000.0,24321627030.91,24,2.30769,2.35714,1.515266,-73000000.0,46.65217,34.27
FOX.OQ,2021-10-01,1.11,1.03313,7.441,7.15205250065335,22303009991.34,3045000000.0,25147009991.34,25,2.35714,2.48148,1.527139,708000000.0,44.5,37.12
LIN.N,2022-10-01,3.1,2.93247,5.713,1.35176148434596,133279778031.88,8797000000.0,146172778031.88,19,1.91667,1.95833,3.53384839524641,1257000000.0,346.0,269.59
LIN.N,2022-07-01,3.1,2.96267,4.635,1.02238858867171,143295057517.64,8457000000.0,157049057517.64,18,1.95833,2.0,2.94105014823835,360000000.0,355.2,287.53
LIN.N,2022-04-01,2.93,2.77594,5.55,1.32855897461761,160763271194.99,8211000000.0,174182271194.99,17,2.0,2.0,2.0884838984078,1166000000.0,369.84211,319.43
LIN.N,2022-01-01,2.77,2.67226,3.658,1.52979126282622,177564335460.33,8298000000.0,190354335460.33,19,2.0,2.08696,1.38519634175986,1016000000.0,373.57143,346.43
LIN.N,2021-10-01,2.73,2.659,2.67,1.14103046257992,150373306980.78,7668000000.0,163814306980.78,18,2.08696,1.95652,1.37666313148704,1008000000.0,343.04762,293.38
WY.N,2022-10-01,0.42,0.3734,12.48,13.2297803963578,21289823520.0,2276000000.0,24422823520.0,10,2.41667,2.25,3.747421,310000000.0,37.8,27.80841504
WY.N,2022-07-01,1.06,0.9821,7.932,8.39731188270034,24566362560.0,2973000000.0,27896362560.0,10,2.25,1.81818,3.092855,788000000.0,41.4,32.24841408
WY.N,2022-04-01,1.31,1.18967,10.115,9.55390990778955,28252251800.0,3112000000.0,32100251800.0,9,1.81818,1.81818,2.325202,771000000.0,44.88889,36.9026236
WY.N,2022-01-01,0.49,0.48122,1.825,9.98295997672582,30845673100.0,2206000000.0,34065673100.0,9,1.81818,1.90909,1.515266,416000000.0,44.0,38.709736723
WY.N,2021-10-01,0.6,0.57222,4.855,8.94061724511552,26669816880.0,2345000000.0,29593816880.0,10,1.90909,1.90909,1.527139,482000000.0,41.66667,32.968891512
MCD.N,2022-10-01,2.68,2.57683,4.004,1.7991097588898,168999488840.08,5872100000.0,201037388840.08,30,2.02439,2.05263,3.747421,1981600000.0,283.22857,230.74
MCD.N,2022-07-01,2.55,2.46914,3.275,3.48258907959856,181633879864.48,5718400000.0,214337879864.48,29,2.05263,2.05128,3.092855,1188000000.0,279.77419,246.88
MCD.N,2022-04-01,2.28,2.16848,5.143,3.92717479524828,182875164850.4,5665600000.0,214528264850.4,32,2.05128,1.97436,2.325202,1104400000.0,280.79394,247.28
MCD.N,2022-01-01,2.23,2.336,-4.538,3.34931506849315,200314081615.89,6009100000.0,231227581615.89,31,1.97436,1.975,1.515266,1638800000.0,282.73235,268.07
MCD.N,2021-10-01,2.76,2.46078,12.16,2.56138297612952,180168344903.97,6201300000.0,210990544903.97,32,1.975,1.97368,1.527139,2149900000.0,270.44571,241.11
HD.N,2022-10-01,4.24,4.11822,2.957,1.06429476812798,305735902201.95,38872000000.0,346237902201.95,27,2.11111,2.08571,3.747421,4339000000.0,344.40625,275.94
HD.N,2022-07-01,5.05,4.94404,2.143,1.62802080889313,309292573449.24,43792000000.0,349061573449.24,27,2.08571,2.08333,3.092855,5173000000.0,356.51097,274.27
HD.N,2022-04-01,4.09,3.67635,11.252,2.1393501706856,310423052675.2,38908000000.0,349200052675.2,27,2.08333,2.08108,2.325202,4231000000.0,367.23677,299.33
HD.N,2022-01-01,3.21,3.17854,0.99,4.86764363512808,382755427937.58,35719000000.0,420498427937.58,28,2.08108,2.16216,1.515266,3352000000.0,394.29515,415.01
HD.N,2021-10-01,3.92,3.40137,15.248,3.86373725881042,392319041651.04,36820000000.0,426400041651.04,29,2.16216,2.10811,1.527139,4129000000.0,383.6875,328.26
SPG.N,2022-10-01,1.65,1.4375,14.783,6.98017391304348,30776479355.25,1215470000.0,55526882355.25,8,2.33333,2.27778,3.747421,621847000.0,123.375,89.75
SPG.N,2022-07-01,1.51,1.43,5.594,4.11748251748252,31072984337.64,1194700000.0,56139981337.64,7,2.27778,2.2,3.092855,569480000.0,128.2,94.92
SPG.N,2022-04-01,1.3,1.29333,0.516,10.8672960497321,43235693558.2,1207867000.0,68622507558.2,8,2.2,2.21053,2.325202,488310000.0,162.94118,131.56
SPG.N,2022-01-01,1.53,1.44,6.25,7.43125,52502205512.51,1224913000.0,78025327512.51,9,2.21053,2.10526,1.515266,573730000.0,175.35294,159.77
SPG.N,2021-10-01,1.77,1.0875,62.759,2.78712643678161,42709592855.11,1207923000.0,68602005855.11,8,2.10526,2.31579,1.527139,778648000.0,155.08333,129.97
HBAN.OQ,2022-10-01,0.39,0.3835,1.695,3.18122555410691,19015237480.9,1910000000.0,30126237480.9,17,2.57895,2.68421,3.747421,597000000.0,15.05882,13.18
HBAN.OQ,2022-07-01,0.35,0.34094,2.657,4.02416847539156,17349597958.32,1752000000.0,28666597958.32,17,2.68421,2.42105,3.092855,541000000.0,14.82353,12.03
HBAN.OQ,2022-04-01,0.29,0.30435,-4.715,6.39066863808116,21040733514.58,1653000000.0,28688733514.58,17,2.42105,2.36842,2.325202,462000000.0,16.9375,14.62
HBAN.OQ,2022-01-01,0.26,0.32412,-19.783,20.8194495865729,22304432459.58,1653000000.0,30123432459.58,17,2.36842,2.22222,1.515266,402000000.0,18.46875,15.42
HBAN.OQ,2021-10-01,0.22,0.31765,-30.741,19.0587124193295,22362290909.54,1695000000.0,31252290909.54,18,2.22222,2.23529,1.527139,378000000.0,17.60938,15.46
