Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close
MAA.N,2022-01-01,1.6,0.75167,112.859,15.5413944949246,27198504543.36,463575000.0,31849631543.36,7,2.45,2.47368,1.515266,190620000.0,229.35294,229.44
MAA.N,2021-10-01,0.73,0.655,11.45,9.88396946564886,21502081820.25,452575000.0,26206348820.25,7,2.47368,2.625,1.527139,86789000.0,206.29412,186.75
JNJ.N,2022-10-01,2.55,2.47193,3.158,3.9556136298358,429502827647.2,23791000000.0,427450827647.2,15,2.40909,2.35,3.747421,4458000000.0,184.845,163.36
JNJ.N,2022-07-01,2.59,2.53543,2.152,2.83344442560039,472389251854.08,24020000000.0,472418251854.08,14,2.35,2.25,3.092855,4814000000.0,189.55556,177.51
JNJ.N,2022-04-01,2.67,2.56413,4.129,5.45058167877604,468571178104.64,23426000000.0,471331178104.64,16,2.25,2.10526,2.325202,5149000000.0,188.73684,177.23
JNJ.N,2022-01-01,2.13,2.11729,0.6,1.49814149219049,450358363486.83,24804000000.0,452501363486.83,15,2.10526,2.05263,1.515266,4736000000.0,186.16667,171.07
JNJ.N,2021-10-01,2.6,2.35136,10.574,3.0582301306478,422434401303.24,23338000000.0,425361401303.24,14,2.05263,1.95,1.527139,3667000000.0,188.58824,161.5
ABC.N,2022-10-01,2.6,2.57009,1.164,1.22057982405285,28048237590.36,61174149000.0,30645713590.36,12,2.13333,2.3125,3.747421,298676000.0,176.66667,135.33
ABC.N,2022-07-01,2.62,2.56423,2.175,1.59580068870577,29634973794.0,60064601000.0,32956002794.0,13,2.3125,2.4,3.092855,363203000.0,170.33333,141.48
ABC.N,2022-04-01,3.22,2.92667,10.023,4.04623684938855,32355651640.59,57719446000.0,35816144640.59,12,2.4,2.25,2.325202,555245000.0,170.72727,154.71
ABC.N,2022-01-01,2.58,2.57533,0.181,2.44745333607732,27658842343.29,59628810000.0,31157548343.29,12,2.25,2.25,1.515266,449416000.0,152.69231,132.89
ABC.N,2021-10-01,2.39,2.35917,1.307,1.31190206725247,24820171006.2,58912421000.0,28945102006.2,12,2.25,2.26667,1.527139,436448000.0,142.0,119.45
SHW.N,2022-10-01,2.83,2.56271,10.43,2.80484331040188,53059614426.0,6047400000.0,63463814426.0,24,2.51613,2.56667,3.747421,685100000.0,259.16154,204.75
SHW.N,2022-07-01,2.41,2.77244,-13.073,3.59574959241679,58033677397.23,5872300000.0,68327277397.23,23,2.56667,2.39286,3.092855,577900000.0,283.72727,223.91
SHW.N,2022-04-01,1.61,1.5445,4.241,4.29394626092587,64933976603.72,4998700000.0,75125576603.72,22,2.39286,2.48276,2.325202,370800000.0,310.65,249.62
SHW.N,2022-01-01,1.34,1.37904,-2.831,6.64085160691496,92335012383.36,4762100000.0,101784312383.36,24,2.48276,2.2069,1.515266,304000000.0,334.2381,352.16
SHW.N,2021-10-01,2.09,2.10073,-0.511,7.37267521290218,73344141907.08,5146700000.0,82007241907.08,24,2.2069,2.17241,1.527139,502200000.0,316.39394,279.73
GD.N,2022-10-01,3.26,3.15328,3.384,1.22031662269129,58186820497.4,9975000000.0,67181820497.4,18,2.13636,2.1579,3.747421,902000000.0,263.0,212.17
GD.N,2022-07-01,2.75,2.724,0.955,0.866740088105727,62167067043.9,9189000000.0,71439067043.9,15,2.1579,2.15,3.092855,766000000.0,266.26667,221.25
GD.N,2022-04-01,2.61,2.50588,4.155,2.06234935431864,67450873399.62,9392000000.0,76039873399.62,17,2.15,2.35,2.325202,730000000.0,268.2,241.18
GD.N,2022-01-01,3.39,3.37294,0.506,1.02077119664151,58209583370.1,10292000000.0,68438583370.1,17,2.35,2.31579,1.515266,952000000.0,231.88235,208.47
GD.N,2021-10-01,3.07,2.97938,3.042,0.982083520732502,55410699083.08,9568000000.0,65939699083.08,16,2.31579,2.47619,1.527139,860000000.0,223.82353,196.03
SBAC.OQ,2022-10-01,0.91,0.94493,-3.697,8.21965648249077,30731952600.0,675584000.0,42909466600.0,16,2.21053,2.21053,3.747421,99762000.0,343.88889,284.65
SBAC.OQ,2022-07-01,0.64,0.90207,-29.052,10.9415012138748,34524433600.0,652006000.0,46820673600.0,16,2.21053,2.21053,3.092855,69151000.0,378.33333,320.05
SBAC.OQ,2022-04-01,1.72,0.99613,72.668,6.3967554435666,37096044600.0,619770000.0,49499844600.0,16,2.21053,2.1579,2.325202,188306000.0,383.27778,344.1
SBAC.OQ,2022-01-01,0.44,0.68657,-35.913,22.8527316952387,42386063120.0,595262000.0,54342536120.0,16,2.1579,2.0,1.515266,48904000.0,384.5,389.02
SBAC.OQ,2021-10-01,0.43,0.82733,-48.026,10.174899979452,36215084627.64,589305000.0,47888991627.64,16,2.0,1.84211,1.527139,47798000.0,376.21053,330.57
MPWR.OQ,2022-10-01,3.53,3.49955,0.87,1.4681887671272,17058359400.0,495418000.0,16322312400.0,11,1.84615,1.84615,3.747421,124337000.0,481.0,363.4
MPWR.OQ,2022-07-01,3.25,2.94546,10.339,0.975738933816789,17968079480.0,461004000.0,17156200480.0,11,1.84615,1.84615,3.092855,114679000.0,566.44444,384.04
MPWR.OQ,2022-04-01,2.45,2.25827,8.49,2.03297214239219,22644830000.0,377714000.0,21871318000.0,11,1.84615,1.92308,2.325202,79566000.0,567.22222,485.68
MPWR.OQ,2022-01-01,2.12,1.87546,13.039,2.34502468727672,22819472480.0,336504000.0,22094390480.0,11,1.92308,1.83333,1.515266,72671000.0,575.375,493.33
MPWR.OQ,2021-10-01,2.06,1.99818,3.094,1.25914582269866,22256505600.0,323522000.0,21514467600.0,11,1.83333,1.83333,1.527139,68770000.0,567.0,484.68
COP.N,2022-10-01,3.6,3.46067,4.026,5.83875376733407,127522912894.44,21614000000.0,134061912894.44,22,1.86207,1.9,3.747421,4527000000.0,132.42593,102.34
COP.N,2022-07-01,3.91,3.80411,2.784,6.37100399304962,114331126510.65,21989000000.0,123121126510.65,19,1.9,1.9,3.092855,5145000000.0,121.18148,89.81
COP.N,2022-04-01,3.27,3.02911,7.953,15.8574630832159,129344954700.0,19291000000.0,140946954700.0,19,1.9,1.83871,2.325202,5759000000.0,120.95556,100.0
COP.N,2022-01-01,2.27,2.18385,3.945,4.96050552922591,95201584860.06,15963000000.0,109661584860.06,21,1.83871,1.83871,1.515266,2627000000.0,97.97667,72.18
COP.N,2021-10-01,1.77,1.5051,17.6,6.32316789582088,89385029176.59,11616000000.0,98542029176.59,22,1.83871,1.8,1.527139,2379000000.0,85.3,67.77
ORCL.N,2022-07-01,1.03,1.07177,-3.897,2.2075631898635,197604262900.0,11445000000.0,278387262900.0,22,2.65625,2.74194,3.747421,1586000000.0,89.44,61.07
ORCL.N,2022-04-01,1.54,1.37081,12.342,2.24976473763687,191893851440.0,11840000000.0,246302851440.0,22,2.74194,2.73333,3.092855,3242000000.0,90.70833,69.87
ORCL.N,2022-01-01,1.13,1.17552,-3.872,2.43381652375119,207678128306.86,10513000000.0,263187128306.86,22,2.73333,2.87097,2.325202,2361000000.0,97.15,82.73
ORCL.N,2021-10-01,1.21,1.11246,8.768,0.942056343598871,248054671088.12,10360000000.0,304090671088.12,24,2.87097,2.89655,1.515266,-1205000000.0,92.828,87.21
ORCL.N,2021-07-01,1.03,0.96925,6.268,1.80551973175135,248850960000.0,9728000000.0,292669960000.0,21,2.89655,2.82759,1.527139,2504000000.0,84.4,87.13
AMP.N,2022-10-01,6.43,5.84608,9.988,2.52083447369861,27252303267.9,3545000000.0,24683303267.9,12,2.07143,2.15385,3.747421,548000000.0,305.90909,251.95
AMP.N,2022-07-01,5.81,5.55827,4.529,3.04339299818109,25764512000.0,3479000000.0,23305512000.0,11,2.15385,1.92308,3.092855,756000000.0,286.3,237.68
AMP.N,2022-04-01,5.98,5.86291,1.997,3.88288409680517,33069636000.0,3595000000.0,31013636000.0,11,1.92308,1.71429,2.325202,761000000.0,350.8,300.36
AMP.N,2022-01-01,6.15,5.70373,7.824,2.5614816970649,33752682196.22,3705000000.0,31700682196.22,12,1.71429,1.83333,1.515266,701000000.0,364.2,301.66
AMP.N,2021-10-01,5.91,5.48455,7.757,1.0839540162821,30042576880.44,3515000000.0,27432576880.44,12,1.83333,1.83333,1.527139,1031000000.0,317.22222,264.12
NXPI.OQ,2022-10-01,3.81,3.627,5.046,2.87124345188861,38735900457.21,3445000000.0,46417900457.21,23,2.27586,2.17241,3.27744988545142,754000000.0,183.88462,147.51
NXPI.OQ,2022-07-01,3.52,3.35496,4.919,3.47932613205523,38358090171.1,3312000000.0,46237090171.1,23,2.17241,2.17241,2.84568492180285,686000000.0,199.08,148.03
NXPI.OQ,2022-04-01,3.34,3.16617,5.49,3.36747553037266,47789840269.76,3136000000.0,55930840269.76,23,2.17241,2.12903,2.00852055693091,654000000.0,223.19231,185.08
NXPI.OQ,2022-01-01,3.2,2.98596,7.168,3.10586879931412,60574275457.22,3039000000.0,68558275457.22,24,2.12903,2.06897,1.21921595431588,612000000.0,241.0,227.78
NXPI.OQ,2021-10-01,2.84,2.72204,4.334,3.75306755227697,51141867003.2,2861000000.0,58665867003.2,23,2.06897,2.14286,1.31493592405191,523000000.0,234.37037,195.87
CPRT.OQ,2022-10-01,0.51,0.56313,-9.435,5.68430025038623,27382717888.74,893372000.0,25845295888.74,8,1.6,1.7,3.747421,245848000.0,75.14286,53.2
CPRT.OQ,2022-07-01,0.565,0.54938,2.844,4.88914776657323,30445856985.6,883388000.0,29063652985.6,8,1.7,1.8,3.092855,263735000.0,78.21429,54.33
CPRT.OQ,2022-04-01,0.585,0.57063,2.519,3.51716523842069,26991568485.95,939941000.0,25714594485.95,8,1.8,1.81818,2.325202,278620000.0,82.85715,62.735
CPRT.OQ,2022-01-01,0.55,0.53717,2.389,4.73220768099484,30656608584.25,867460000.0,29713920584.25,9,1.81818,1.7,1.515266,287412000.0,85.05556,75.81
CPRT.OQ,2021-10-01,0.535,0.505,5.941,5.21188118811881,36825035788.0,810132000.0,35935602788.0,9,1.7,1.7,1.527139,260363000.0,79.9375,69.36
TXT.N,2022-10-01,1.06,0.92923,14.073,4.67160982749158,12323830258.62,3078000000.0,14002830258.62,13,2.1875,2.13333,3.747421,225000000.0,82.49286,58.26
TXT.N,2022-07-01,1.0,0.8825,13.314,5.5728045325779,13143741501.87,3154000000.0,14868741501.87,12,2.13333,2.07143,3.092855,218000000.0,84.58333,61.07
TXT.N,2022-04-01,0.88,0.73167,20.273,6.38265884893463,,3001000000.0,17327534475.34,12,2.07143,2.07143,2.325202,193000000.0,86.16667,74.38
TXT.N,2022-01-01,0.94,0.95417,-1.485,4.73500529255793,17016826752.4,3322000000.0,18666826752.4,12,2.07143,2.0,1.515266,207000000.0,86.75,77.2
TXT.N,2021-10-01,0.85,0.776,9.536,8.51288659793814,15920519511.89,2990000000.0,17510519511.89,10,2.0,2.15385,1.527139,185000000.0,84.41667,69.81
T.N,2022-10-01,0.68,0.61155,11.193,6.98225819638623,109312840000.0,30043000000.0,254744840000.0,22,2.71875,2.67742,3.747421,6346000000.0,20.45,15.34
T.N,2022-07-01,0.65,0.60605,7.252,7.29312762973352,149360960000.0,29643000000.0,299479960000.0,22,2.67742,2.66667,3.092855,4751000000.0,23.02174,20.96
T.N,2022-04-01,0.77,0.78506,-1.919,7.82742720301633,168786555469.83,38105000000.0,356346555469.83,20,2.66667,2.6875,2.325202,5164000000.0,25.75217,17.84483251
T.N,2022-01-01,0.78,0.75833,2.858,4.09584217952606,175668600000.0,40958000000.0,350844600000.0,24,2.6875,2.83871,1.515266,5202000000.0,29.80417,18.5773542
T.N,2021-10-01,0.87,0.78094,11.404,7.13499116449407,192851400000.0,39922000000.0,369712400000.0,23,2.83871,2.80645,1.527139,5019000000.0,31.34583,20.39733077
MTCH.OQ,2022-10-01,0.44,0.43444,1.279,18.1451984163521,13512603083.0,809546000.0,16993556083.0,20,2.09091,1.8,3.747421,128266000.0,73.75714,47.75
MTCH.OQ,2022-07-01,0.7,0.53474,30.905,13.516849309945,19898703894.24,794513000.0,23317937894.24,19,1.8,1.90909,3.092855,-32365000.0,107.04737,69.69
MTCH.OQ,2022-04-01,0.6,0.52944,13.326,19.9248262314899,31007024837.12,798631000.0,34002155837.12,19,1.90909,2.0,2.325202,180607000.0,144.56667,108.74
MTCH.OQ,2022-01-01,0.63,0.53,18.868,15.3698113207547,37438032512.0,806070000.0,40549365512.0,18,2.0,2.05263,1.515266,-168724000.0,163.43889,132.25
MTCH.OQ,2021-10-01,0.43,0.54527,-21.14,18.946576925193,43456516031.73,801835000.0,46997132031.73,17,2.05263,2.05263,1.527139,130901000.0,174.44444,156.99
NDAQ.OQ,2022-10-01,0.68,0.64867,4.83,1.68652781845931,27842702262.96,890000000.0,32793702262.96,15,2.33333,2.06667,3.747421,294000000.0,65.77554,56.68
NDAQ.OQ,2022-07-01,0.69,0.63817,8.122,0.96839400159832,25119947645.96,893000000.0,30229947645.96,12,2.06667,2.27778,3.092855,307000000.0,63.6666,50.84661582
NDAQ.OQ,2022-04-01,0.65667,0.6486,1.244,2.14461917977182,29298238714.8,892000000.0,34494238714.8,15,2.27778,2.41177,2.325202,283000000.0,69.68882,59.3999406
NDAQ.OQ,2022-01-01,0.64333,0.5921,8.653,2.14828576254011,35118293270.05,885000000.0,40357293270.05,14,2.41177,2.4,1.515266,259000000.0,72.47611,70.00326333
NDAQ.OQ,2021-10-01,0.59333,0.57413,3.345,1.86368940832216,32273685582.84,838000000.0,37722685582.84,13,2.4,2.4,1.527139,288000000.0,70.56403,64.33993566
FFIV.OQ,2022-10-01,2.62,2.52131,3.914,1.40998131923484,8663537800.0,700033000.0,8128743800.0,16,2.73684,2.73684,3.747421,89346000.0,184.93125,144.73
FFIV.OQ,2022-07-01,2.57,2.23282,15.101,1.63470409616539,9114450240.0,674488000.0,8730700240.0,17,2.73684,2.47368,3.092855,83019000.0,197.13333,153.04
FFIV.OQ,2022-04-01,2.13,2.01453,5.732,3.83613051183154,12634161750.0,634224000.0,12106437750.0,17,2.47368,2.38889,2.325202,56236000.0,233.26667,208.95
FFIV.OQ,2022-01-01,2.89,2.77953,3.974,1.0861548535184,14983443537.48,687100000.0,14488718537.48,18,2.38889,2.33333,1.515266,93559000.0,252.26667,244.71
FFIV.OQ,2021-10-01,3.01,2.74788,9.539,2.16203036522701,12056404560.0,681997000.0,11514844560.0,17,2.33333,2.36842,1.527139,110718000.0,233.625,198.78
LEN.N,2022-07-01,5.19,4.8738,6.488,3.55102794534039,21976837458.66,8934431000.0,26185144458.66,17,2.4,2.2,3.747421,1472694000.0,91.0625,74.55
LEN.N,2022-04-01,4.49,3.958,13.441,2.43431025770591,22907656728.84,8358696000.0,27566818728.84,17,2.2,2.15,3.092855,1322558000.0,100.75,70.57
LEN.N,2022-01-01,1.69,2.59471,-34.867,2.55674044498229,26028481039.88,6203516000.0,30478536039.88,17,2.15,2.05556,2.325202,509315000.0,127.0625,81.17
LEN.N,2021-10-01,3.91,4.15267,-5.844,1.02343793270354,31785211406.36,8433560000.0,35421688406.36,16,2.05556,2.17647,1.515266,1193650000.0,125.5,116.16
LEN.N,2021-07-01,4.52,3.27143,38.166,3.22641780505773,32465058083.4,6941403000.0,36466134083.4,15,2.17647,2.23529,1.527139,1409218000.0,117.25,93.68
CDNS.OQ,2022-10-01,1.06,0.9663,9.697,0.692331574045327,44758574100.0,902554000.0,44530322100.0,11,2.06667,2.07692,3.747421,186305000.0,191.07692,163.43
CDNS.OQ,2022-07-01,1.08,0.9624,12.22,1.98462177888612,41264576760.0,857521000.0,40583031760.0,10,2.07692,2.13333,3.092855,186920000.0,194.89091,150.03
CDNS.OQ,2022-04-01,1.17,1.01593,15.165,1.16838758575886,46107438411.9,901766000.0,45320478411.9,15,2.13333,2.3125,2.325202,235335000.0,186.21539,164.46
CDNS.OQ,2022-01-01,0.82,0.76143,7.692,9.26940099549532,51645225350.0,773036000.0,50903873350.0,14,2.3125,2.33333,1.515266,176579000.0,180.06,186.35
CDNS.OQ,2021-10-01,0.8,0.75014,6.646,0.897165862372357,42350107800.0,750895000.0,41683673800.0,14,2.33333,2.23529,1.527139,176307000.0,168.51177,151.44
NVDA.OQ,2022-10-01,0.58,0.69436,-16.47,6.35117230255199,344466600000.0,5931000000.0,342273600000.0,33,2.02222,1.93478,3.747421,680000000.0,190.124,121.39
NVDA.OQ,2022-07-01,0.51,1.25545,-59.377,2.72014018877693,454075000000.0,6704000000.0,447987000000.0,32,1.93478,1.95833,3.092855,656000000.0,223.43643,151.59
NVDA.OQ,2022-04-01,1.36,1.29336,5.153,1.224717016144,464419541679.97,8288000000.0,455028541679.97,34,1.95833,1.93617,2.325202,1618000000.0,298.66114,272.86
NVDA.OQ,2022-01-01,1.32,1.22236,7.988,0.912169900847541,571000000000.0,7643000000.0,560738000000.0,34,1.93617,1.93333,1.515266,3003000000.0,340.81881,294.11
NVDA.OQ,2021-10-01,1.17,1.10632,5.756,1.12083303203413,639175000000.0,7103000000.0,630821000000.0,33,1.93333,1.95556,1.527139,2464000000.0,296.54854,207.16
WELL.N,2022-10-01,-0.01,0.162,-106.173,14.8148148148148,29803932864.96,1473844000.0,45959187864.96,12,2.14286,1.95238,3.747421,2981000.0,78.9,64.32
WELL.N,2022-07-01,0.2,0.18125,10.345,15.7131034482759,38342983500.0,1472536000.0,54441809500.0,11,1.95238,2.09524,,106262000.0,94.21053,82.35
WELL.N,2022-04-01,0.14,0.177,-20.904,21.8870056497175,43007496893.9,1395704000.0,58641354893.9,13,2.09524,2.13636,,45701000.0,98.31579,96.14
WELL.N,2022-01-01,0.13,0.15,-13.333,29.3133333333333,37333496266.56,1309264000.0,52668740266.56,12,2.13636,2.05263,,66695000.0,94.42857,85.77
WELL.N,2021-10-01,0.42,0.199,111.055,44.1809045226131,34819177851.2,1239797000.0,49603755851.2,12,2.05263,2.2,,86214000.0,91.81579,82.4
PLD.N,2022-10-01,1.36,1.21857,11.606,11.8548790795769,75222404800.0,1151846000.0,97102590800.0,10,1.8,2.05882,3.747421,1069174000.0,137.66667,101.6
PLD.N,2022-07-01,0.82,0.62167,31.904,16.1500474528287,87092412550.0,1093452000.0,109057848550.0,9,2.05882,2.0,3.092855,646436000.0,163.73333,117.65
PLD.N,2022-04-01,1.54,0.55,180.0,17.12,119524549474.44,1076861000.0,140334419474.44,7,2.0,2.0,2.325202,1219722000.0,177.88235,161.48
PLD.N,2022-01-01,1.67,0.605,176.033,19.0082644628099,124473093720.0,1074294000.0,146011315720.0,10,2.0,2.0,1.515266,1300853000.0,170.5,168.36
PLD.N,2021-10-01,0.97,0.51143,89.665,28.9912598009503,92724252930.0,1037281000.0,113590154930.0,9,2.0,1.94737,1.527139,797731000.0,145.97368,125.43
ROST.OQ,2022-07-01,1.11,0.99444,11.621,4.40247777643699,28435019345.26,4583009000.0,26985762345.26,19,2.25,2.16667,3.747421,384517000.0,97.95238,84.27
ROST.OQ,2022-04-01,0.91,0.99821,-8.837,2.43435749992487,35058413761.8,4333100000.0,33496213761.8,19,2.16667,2.15385,3.092855,338445000.0,108.13,70.23
ROST.OQ,2022-01-01,1.04,0.96948,7.274,8.90477369311384,33838388720.95,5020649000.0,31368348720.95,22,2.15385,2.0,2.325202,366822000.0,123.22727,90.46
ROST.OQ,2021-10-01,1.09,0.78391,39.047,11.6454695054279,40227426785.2,4574541000.0,37484105785.2,21,2.0,1.95833,1.515266,385030000.0,138.88182,114.28
ROST.OQ,2021-07-01,1.39,0.97741,42.213,11.2675335836548,43815134634.23,4804974000.0,40761272634.23,22,1.95833,1.88462,1.527139,494258000.0,140.63636,108.85
MRK.N,2022-10-01,1.85,1.706,8.441,5.31828839390387,218166060251.4,14959000000.0,237402060251.4,18,2.15385,2.21429,3.747421,3253000000.0,105.22727,86.12
MRK.N,2022-07-01,1.87,1.70363,9.766,3.64104881928588,230551154129.25,14593000000.0,252161154129.25,17,2.21429,2.16667,3.092855,3949000000.0,99.69565,91.17
MRK.N,2022-04-01,2.14,1.83288,16.756,7.61861114748374,207451370624.25,15901000000.0,230387370624.25,17,2.16667,2.16667,2.325202,4307000000.0,93.76667,82.05
MRK.N,2022-01-01,1.8,1.52612,17.946,6.52176761984641,193588343255.04,13521000000.0,218667343255.04,17,2.16667,2.0,1.515266,3824000000.0,92.736,76.64
MRK.N,2021-10-01,1.75,1.54569,13.218,4.28934650544417,190131553416.56,13154000000.0,206625553416.56,13,2.0,2.08,1.527139,4571000000.0,94.325,75.11
WEC.N,2022-10-01,0.96,0.8634,11.188,2.74611999073431,28209310107.33,2003000000.0,44758810107.33,10,2.66667,2.625,3.747421,301700000.0,95.38462,89.43
WEC.N,2022-07-01,0.91,0.852,6.808,1.57746478873239,31745331199.84,2127900000.0,47241931199.84,11,2.625,2.76471,3.092855,287800000.0,103.60714,100.64
WEC.N,2022-04-01,1.79,1.66846,7.285,2.64135789890078,31483520539.11,2908100000.0,46778720539.11,13,2.76471,2.75,2.325202,568000000.0,105.33462,99.81
WEC.N,2022-01-01,0.71,0.67558,5.094,1.26409899641789,30619229924.17,2201900000.0,46393129924.17,12,2.75,2.71429,1.515266,223800000.0,99.70833,97.07
WEC.N,2021-10-01,0.92,0.79142,16.247,5.63544009501908,27821325634.2,1746500000.0,42677125634.2,12,2.71429,3.0,1.527139,288700000.0,96.33333,88.2
MSCI.N,2022-10-01,2.85,2.70836,5.23,2.75074214653886,33955335062.6,560639000.0,37601225062.6,11,2.42857,2.35714,3.747421,216592000.0,484.0,421.79
MSCI.N,2022-07-01,2.78,2.68246,3.636,2.61215451488559,33434862172.45,551806000.0,37104432172.45,11,2.35714,2.46154,3.092855,210587000.0,488.36364,412.15
MSCI.N,2022-04-01,2.98,2.79727,6.532,3.54273988567425,40868006077.92,559945000.0,44351156077.92,11,2.46154,2.33333,2.325202,228423000.0,577.9,502.88
MSCI.N,2022-01-01,2.51,2.49433,0.628,2.23266368122903,50514277200.66,549842000.0,53254250200.66,10,2.33333,2.41667,1.515266,193865000.0,656.55556,612.69
MSCI.N,2021-10-01,2.53,2.4113,4.923,2.12872724256625,50152943306.94,517099000.0,53028658306.94,11,2.41667,2.27273,1.527139,169876000.0,667.33333,608.34
TMO.N,2022-10-01,5.08,4.8121,5.567,3.18468028511461,198711443636.78,10677000000.0,225130443636.78,20,1.92308,1.88,3.747421,1570000000.0,632.36364,507.19
TMO.N,2022-07-01,5.51,4.98711,10.485,3.73041701506484,214626870740.0,10970000000.0,243176870740.0,20,1.88,1.85185,3.092855,1719000000.0,660.435,543.28
TMO.N,2022-04-01,7.25,6.18074,17.3,5.24678274769688,231865266914.26,11818000000.0,261099266914.26,20,1.85185,1.84615,2.325202,2239000000.0,677.29,590.65
TMO.N,2022-01-01,6.54,5.27216,24.048,10.5290810597554,262924645569.88,10702000000.0,293439645569.88,19,1.84615,1.75,1.515266,1665000000.0,691.11682,667.24
TMO.N,2021-10-01,5.76,4.67006,23.339,3.93785090555582,225318871835.28,9330000000.0,234998871835.28,19,1.75,1.75,1.527139,1902000000.0,666.475,571.33
F.N,2022-10-01,0.3,0.2716,10.457,20.7621502209131,45026660201.6,37194000000.0,133146660201.6,17,2.73913,2.69565,3.747421,-930000000.0,15.01,10.6603392
F.N,2022-07-01,0.68,0.44733,52.013,12.7109740012966,44739988401.15,37909000000.0,136934988401.15,16,2.69565,2.66667,3.092855,638000000.0,15.835,10.59371208
F.N,2022-04-01,0.38,0.37018,2.653,19.0664001296667,67958212701.29,32111000000.0,162430212701.29,19,2.66667,2.65217,2.325202,-3119000000.0,19.80476,16.09520856
F.N,2022-01-01,0.26,0.45231,-42.517,12.9756140699962,83001936017.31,35257000000.0,171603936017.31,17,2.65217,2.36364,1.515266,12273000000.0,21.40909,19.76921832
F.N,2021-10-01,0.51,0.26894,89.633,23.6000594928237,55562598394.56,33211000000.0,153819598394.56,18,2.36364,2.45455,1.527139,1822000000.0,16.43333,13.47771456
GEHC.OQ,,,,,,,,,0,,,,494000000.0,,
GEHC.OQ,,,,,,,,,,,,,,,
GEHC.OQ,,,,,,,,,,,,,,,
GEHC.OQ,,,,,,,,,,,,,576000000.0,,
GEHC.OQ,,,,,,,,,,,,,516000000.0,,
LYB.N,2022-10-01,1.96,2.844,-31.083,18.0741912798875,24556787905.84,12250000000.0,34520787905.84,23,2.82143,2.67857,3.53384839524641,573000000.0,87.12,75.28
LYB.N,2022-07-01,5.19,4.66543,11.244,12.2417440621765,28653804114.82,14838000000.0,39201804114.82,22,2.67857,2.55556,2.94105014823835,1645000000.0,106.76375,87.46
LYB.N,2022-04-01,4.0,3.5252,13.469,4.34273232724384,33725945324.06,13157000000.0,43394945324.06,20,2.55556,2.46429,2.0884838984078,1321000000.0,113.53227,98.18086442
LYB.N,2022-01-01,3.63,3.96609,-8.474,9.00786416848836,30692663155.12,12830000000.0,40955663155.12,23,2.46429,2.46429,1.38519634175986,731000000.0,111.69625,88.06867463
LYB.N,2021-10-01,5.25,5.75268,-8.738,6.29115473135999,31394267286.8,12700000000.0,43111267286.8,23,2.46429,2.6,1.37666313148704,1763000000.0,116.4,89.61558185
IBM.N,2022-10-01,1.81,1.77392,2.034,5.27475872643637,107419253188.03,14107000000.0,148800253188.03,12,2.45,2.65217,3.747421,-3214000000.0,139.79412,118.81
IBM.N,2022-07-01,2.31,2.27269,1.642,2.65500354205809,127520034040.07,15535000000.0,170339034040.07,13,2.65217,2.6087,3.092855,1461000000.0,144.10526,141.19
IBM.N,2022-04-01,1.4,1.38236,1.276,6.07656471541422,116944580956.5,14197000000.0,160757580956.5,13,2.6087,2.57143,2.325202,778000000.0,143.89474,130.02
IBM.N,2022-01-01,3.35,3.2986,1.558,7.28308979567089,119866334781.0,16695000000.0,164415334781.0,13,2.57143,2.47368,1.515266,2368000000.0,144.54794,133.66
IBM.N,2021-10-01,2.52,2.49933,0.827,3.87463840309203,124592472625.5,17618000000.0,171167472625.5,12,2.47368,2.68421,1.527139,1037000000.0,151.47353,132.70093452
IQV.N,2022-10-01,2.48,2.385,3.983,1.15429769392034,33655812000.0,3562000000.0,44688812000.0,19,1.59091,1.63636,3.747421,290000000.0,258.05263,181.14
IQV.N,2022-07-01,2.44,2.38106,2.476,0.818962982873174,40490334000.0,3541000000.0,51739334000.0,19,1.63636,1.71429,3.092855,257000000.0,263.88889,216.99
IQV.N,2022-04-01,2.47,2.41924,2.098,0.95484532332468,44042097889.44,3568000000.0,55186097889.44,17,1.71429,1.66667,2.325202,329000000.0,265.05882,231.21
IQV.N,2022-01-01,2.55,2.434,4.766,0.994248151191454,53775884000.0,3636000000.0,64423884000.0,18,1.66667,1.66667,1.515266,317000000.0,293.29412,282.14
IQV.N,2021-10-01,2.17,2.12317,2.206,1.81285530598115,45898819204.98,3391000000.0,63394819204.98,18,1.66667,1.68182,1.527139,261000000.0,284.61111,239.54
VRTX.OQ,2022-10-01,4.01,3.644,10.044,4.55351262349067,74295964000.0,2334300000.0,64967564000.0,23,2.13793,2.13333,3.747421,930500000.0,316.38,289.54
VRTX.OQ,2022-07-01,3.6,3.47925,3.471,4.76050873032981,72138240000.0,2196200000.0,63367140000.0,23,2.13333,2.0,3.092855,810500000.0,299.812,281.79
VRTX.OQ,2022-04-01,3.52,3.49211,0.799,6.9247532294229,66686694670.53,2097500000.0,58944094670.53,20,2.0,2.03448,2.325202,762100000.0,289.01364,260.97
VRTX.OQ,2022-01-01,3.37,3.29956,2.135,4.89913806689377,55833725584.8,2072600000.0,48818625584.8,21,2.03448,2.07692,1.515266,770110000.0,267.66522,219.6
