Instrument,Date,Earnings Per Share - Actual Surprise,"WACC Inflation Adjusted Risk Free Rate, (%)",Unemployment rate
POOL.OQ,2022-10-01,4.196,3.747421,3.7
POOL.OQ,2022-07-01,1.503,3.092855,3.5
POOL.OQ,2022-04-01,34.342,2.325202,3.6
POOL.OQ,2022-01-01,40.267,1.515266,4.0
POOL.OQ,2021-10-01,17.194,1.527139,4.5
POOL.OQ,2021-07-01,16.302,1.444323,5.4
POOL.OQ,2021-04-01,111.816,1.745787,6.1
POOL.OQ,2021-01-01,89.957,0.926432,6.3
POOL.OQ,2020-10-01,33.876,0.677434,6.9
POOL.OQ,2020-07-01,24.987,0.638068,10.2
POOL.OQ,2020-04-01,38.698,0.671282,14.7
POOL.OQ,2020-01-01,21.025,1.917061,3.5
POOL.OQ,2019-10-01,9.29,1.673179,3.6
POOL.OQ,2019-07-01,-0.194,1.999952,3.7
POOL.OQ,2019-04-01,23.077,2.413881,3.6
POOL.OQ,2019-01-01,-7.082,2.691309,4.0
POOL.OQ,2018-10-01,4.779,3.055485,3.8
POOL.OQ,2018-07-01,-2.633,2.851013,3.8
POOL.OQ,2018-04-01,6.383,2.744341,4.0
POOL.OQ,2018-01-01,94.118,2.41084,4.0
POOL.OQ,2017-10-01,0.723,2.32644,4.2
POOL.OQ,2017-07-01,-1.276,2.301898,4.3
POOL.OQ,2017-04-01,0.946,2.394592,4.4
POOL.OQ,2017-01-01,4.348,2.431507,4.7
POOL.OQ,2016-10-01,2.716,1.606498,4.9
POOL.OQ,2016-07-01,2.524,1.491713,4.8
POOL.OQ,2016-04-01,54.315,1.829833,5.1
POOL.OQ,2016-01-01,633.333,2.304994,4.8
POOL.OQ,2015-10-01,3.053,,5.0
POOL.OQ,2015-07-01,-2.174,,5.2
POOL.OQ,2015-04-01,33.596,,5.4
POOL.OQ,2015-01-01,34.785,,5.7
POOL.OQ,2014-10-01,-0.284,,5.7
POOL.OQ,2014-07-01,0.069,,6.2
POOL.OQ,2014-04-01,-11.955,,6.2
POOL.OQ,2014-01-01,2.938,,6.6
POOL.OQ,2013-10-01,-5.227,,7.2
POOL.OQ,2013-07-01,-0.714,,7.3
POOL.OQ,2013-04-01,34.048,,7.6
POOL.OQ,2013-01-01,11.56,,8.0
CHRW.OQ,2022-10-01,-18.054,3.747421,3.7
CHRW.OQ,2022-07-01,34.612,3.092855,3.5
CHRW.OQ,2022-04-01,32.737,2.325202,3.6
CHRW.OQ,2022-01-01,-6.173,1.515266,4.0
CHRW.OQ,2021-10-01,30.199,1.527139,4.5
CHRW.OQ,2021-07-01,8.02,1.444323,5.4
CHRW.OQ,2021-04-01,30.283,1.745787,6.1
CHRW.OQ,2021-01-01,11.306,0.926432,6.3
CHRW.OQ,2020-10-01,2.81,0.677434,6.9
CHRW.OQ,2020-07-01,77.287,0.638068,10.2
CHRW.OQ,2020-04-01,-16.089,0.671282,14.7
CHRW.OQ,2020-01-01,-23.651,1.917061,3.5
CHRW.OQ,2019-10-01,-6.26,1.673179,3.6
CHRW.OQ,2019-07-01,-0.272,1.999952,3.7
CHRW.OQ,2019-04-01,1.548,2.413881,3.6
CHRW.OQ,2019-01-01,10.748,2.691309,4.0
CHRW.OQ,2018-10-01,6.447,3.055485,3.8
CHRW.OQ,2018-07-01,6.248,2.851013,3.8
CHRW.OQ,2018-04-01,0.628,2.744341,4.0
CHRW.OQ,2018-01-01,2.053,2.41084,4.0
CHRW.OQ,2017-10-01,3.868,2.32644,4.2
CHRW.OQ,2017-07-01,-13.232,2.301898,4.3
CHRW.OQ,2017-04-01,6.548,2.394592,4.4
CHRW.OQ,2017-01-01,2.19,2.431507,4.7
CHRW.OQ,2016-10-01,-6.53,1.606498,4.9
CHRW.OQ,2016-07-01,-0.238,1.491713,4.8
CHRW.OQ,2016-04-01,1.379,1.829833,5.1
CHRW.OQ,2016-01-01,1.182,2.304994,4.8
CHRW.OQ,2015-10-01,2.515,,5.0
CHRW.OQ,2015-07-01,8.991,,5.2
CHRW.OQ,2015-04-01,-0.779,,5.4
CHRW.OQ,2015-01-01,1.435,,5.7
CHRW.OQ,2014-10-01,1.971,,5.7
CHRW.OQ,2014-07-01,4.668,,6.2
CHRW.OQ,2014-04-01,3.584,,6.2
CHRW.OQ,2014-01-01,-8.809,,6.6
CHRW.OQ,2013-10-01,-5.688,,7.2
CHRW.OQ,2013-07-01,-2.122,,7.3
CHRW.OQ,2013-04-01,-6.614,,7.6
CHRW.OQ,2013-01-01,-3.011,,8.0
AJG.N,2022-10-01,3.333,3.747421,3.7
AJG.N,2022-07-01,1.21,3.092855,3.5
AJG.N,2022-04-01,2.717,2.325202,3.6
AJG.N,2022-01-01,4.097,1.515266,4.0
AJG.N,2021-10-01,9.569,1.527139,4.5
AJG.N,2021-07-01,2.632,1.444323,5.4
AJG.N,2021-04-01,9.829,1.745787,6.1
AJG.N,2021-01-01,12.347,0.926432,6.3
AJG.N,2020-10-01,16.971,0.677434,6.9
AJG.N,2020-07-01,29.696,0.638068,10.2
AJG.N,2020-04-01,5.695,0.671282,14.7
AJG.N,2020-01-01,11.005,1.917061,3.5
AJG.N,2019-10-01,0.846,1.673179,3.6
AJG.N,2019-07-01,5.937,1.999952,3.7
AJG.N,2019-04-01,1.515,2.413881,3.6
AJG.N,2019-01-01,2.626,2.691309,4.0
AJG.N,2018-10-01,1.299,3.055485,3.8
AJG.N,2018-07-01,-1.148,2.851013,3.8
AJG.N,2018-04-01,5.039,2.744341,4.0
AJG.N,2018-01-01,9.818,2.41084,4.0
AJG.N,2017-10-01,2.079,2.32644,4.2
AJG.N,2017-07-01,0.238,2.301898,4.3
AJG.N,2017-04-01,3.309,2.394592,4.4
AJG.N,2017-01-01,0.103,2.431507,4.7
AJG.N,2016-10-01,1.211,1.606498,4.9
AJG.N,2016-07-01,1.069,1.491713,4.8
AJG.N,2016-04-01,14.002,1.829833,5.1
AJG.N,2016-01-01,8.012,2.304994,4.8
AJG.N,2015-10-01,11.042,,5.0
AJG.N,2015-07-01,1.035,,5.2
AJG.N,2015-04-01,6.791,,5.4
AJG.N,2015-01-01,3.964,,5.7
AJG.N,2014-10-01,1.878,,5.7
AJG.N,2014-07-01,10.532,,6.2
AJG.N,2014-04-01,33.523,,6.2
AJG.N,2014-01-01,-0.609,,6.6
AJG.N,2013-10-01,-2.768,,7.2
AJG.N,2013-07-01,2.965,,7.3
AJG.N,2013-04-01,39.384,,7.6
AJG.N,2013-01-01,-7.147,,8.0
CNP.N,2022-10-01,6.973,3.747421,3.7
CNP.N,2022-07-01,15.126,3.092855,3.5
CNP.N,2022-04-01,-1.969,2.325202,3.6
CNP.N,2022-01-01,27.177,1.515266,4.0
CNP.N,2021-10-01,18.14,1.527139,4.5
CNP.N,2021-07-01,46.849,1.444323,5.4
CNP.N,2021-04-01,10.769,1.745787,6.1
CNP.N,2021-01-01,43.465,0.926432,6.3
CNP.N,2020-10-01,11.99,0.677434,6.9
CNP.N,2020-07-01,1.122,0.638068,10.2
CNP.N,2020-04-01,49.004,0.671282,14.7
CNP.N,2020-01-01,25.411,1.917061,3.5
CNP.N,2019-10-01,22.665,1.673179,3.6
CNP.N,2019-07-01,14.555,1.999952,3.7
CNP.N,2019-04-01,-14.147,2.413881,3.6
CNP.N,2019-01-01,4.91,2.691309,4.0
CNP.N,2018-10-01,-7.269,3.055485,3.8
CNP.N,2018-07-01,-7.187,2.851013,3.8
CNP.N,2018-04-01,24.694,2.744341,4.0
CNP.N,2018-01-01,10.538,2.41084,4.0
CNP.N,2017-10-01,-3.57,2.32644,4.2
CNP.N,2017-07-01,32.662,2.301898,4.3
CNP.N,2017-04-01,7.436,2.394592,4.4
CNP.N,2017-01-01,-7.575,2.431507,4.7
CNP.N,2016-10-01,13.001,1.606498,4.9
CNP.N,2016-07-01,-15.704,1.491713,4.8
CNP.N,2016-04-01,3.013,1.829833,5.1
CNP.N,2016-01-01,16.089,2.304994,4.8
CNP.N,2015-10-01,15.194,,5.0
CNP.N,2015-07-01,1.409,,5.2
CNP.N,2015-04-01,-8.198,,5.4
CNP.N,2015-01-01,39.828,,5.7
CNP.N,2014-10-01,-1.316,,5.7
CNP.N,2014-07-01,-10.352,,6.2
CNP.N,2014-04-01,-13.921,,6.2
CNP.N,2014-01-01,-6.609,,6.6
CNP.N,2013-10-01,-6.911,,7.2
CNP.N,2013-07-01,10.003,,7.3
CNP.N,2013-04-01,-15.115,,7.6
CNP.N,2013-01-01,33.124,,8.0
AMCR.N,2022-10-01,1.932,3.53384839524641,3.7
AMCR.N,2022-07-01,2.092,2.94105014823835,3.5
AMCR.N,2022-04-01,3.103,2.0884838984078,3.6
AMCR.N,2022-01-01,0.556,1.38519634175986,4.0
AMCR.N,2021-10-01,0.665,1.37666313148704,4.5
AMCR.N,2021-07-01,5.74,1.23421249208498,5.4
AMCR.N,2021-04-01,4.262,1.59593115052955,6.1
AMCR.N,2021-01-01,1.999,0.735883398257987,6.3
AMCR.N,2020-10-01,6.519,0.518477152981412,6.9
AMCR.N,2020-07-01,-1.042,0.465761032302434,10.2
AMCR.N,2020-04-01,-5.422,0.608631794869657,14.7
AMCR.N,2020-01-01,7.868,1.78397724008346,3.5
AMCR.N,2019-10-01,-13.333,1.58913144535056,3.6
AMCR.N,2019-07-01,,1.87326053832934,3.7
AMCR.N,2019-04-01,,,3.6
AMCR.N,2019-01-01,,,4.0
AMCR.N,2018-10-01,,,3.8
AMCR.N,2018-07-01,,,3.8
AMCR.N,2018-04-01,,,4.0
AMCR.N,2018-01-01,,,4.0
AMCR.N,2017-10-01,,,4.2
AMCR.N,2017-07-01,,,4.3
AMCR.N,2017-04-01,,,4.4
AMCR.N,2017-01-01,,,4.7
AMCR.N,2016-10-01,,,4.9
AMCR.N,2016-07-01,,,4.8
AMCR.N,2016-04-01,,,5.1
AMCR.N,2016-01-01,,,4.8
AMCR.N,2015-10-01,,,5.0
AMCR.N,2015-07-01,,,5.2
AMCR.N,2015-04-01,,,5.4
AMCR.N,2015-01-01,,,5.7
AMCR.N,2014-10-01,,,5.7
AMCR.N,2014-07-01,,,6.2
AMCR.N,2014-04-01,,,6.2
AMCR.N,2014-01-01,,,6.6
AMCR.N,2013-10-01,,,7.2
AMCR.N,2013-07-01,,,7.3
AMCR.N,2013-04-01,,,7.6
AMCR.N,2013-01-01,,,8.0
WM.N,2022-10-01,3.222,3.747421,3.7
WM.N,2022-07-01,2.793,3.092855,3.5
WM.N,2022-04-01,13.232,2.325202,3.6
WM.N,2022-01-01,0.09,1.515266,4.0
WM.N,2021-10-01,-7.643,1.527139,4.5
WM.N,2021-07-01,6.913,1.444323,5.4
WM.N,2021-04-01,4.905,1.745787,6.1
WM.N,2021-01-01,3.392,0.926432,6.3
WM.N,2020-10-01,7.291,0.677434,6.9
WM.N,2020-07-01,8.84,0.638068,10.2
WM.N,2020-04-01,1.494,0.671282,14.7
WM.N,2020-01-01,3.202,1.917061,3.5
WM.N,2019-10-01,4.087,1.673179,3.6
WM.N,2019-07-01,2.63,1.999952,3.7
WM.N,2019-04-01,1.704,2.413881,3.6
WM.N,2019-01-01,6.213,2.691309,4.0
WM.N,2018-10-01,3.884,3.055485,3.8
WM.N,2018-07-01,1.757,2.851013,3.8
WM.N,2018-04-01,9.668,2.744341,4.0
WM.N,2018-01-01,2.11,2.41084,4.0
WM.N,2017-10-01,1.194,2.32644,4.2
WM.N,2017-07-01,0.774,2.301898,4.3
WM.N,2017-04-01,0.564,2.394592,4.4
WM.N,2017-01-01,-1.124,2.431507,4.7
WM.N,2016-10-01,4.804,1.606498,4.9
WM.N,2016-07-01,4.458,1.491713,4.8
WM.N,2016-04-01,5.77,1.829833,5.1
WM.N,2016-01-01,4.748,2.304994,4.8
WM.N,2015-10-01,5.293,,5.0
WM.N,2015-07-01,6.157,,5.2
WM.N,2015-04-01,2.664,,5.4
WM.N,2015-01-01,12.228,,5.7
WM.N,2014-10-01,6.336,,5.7
WM.N,2014-07-01,1.196,,6.2
WM.N,2014-04-01,10.385,,6.2
WM.N,2014-01-01,-7.484,,6.6
WM.N,2013-10-01,4.408,,7.2
WM.N,2013-07-01,-1.996,,7.3
WM.N,2013-04-01,-2.702,,7.6
WM.N,2013-01-01,-4.603,,8.0
BA.N,2022-10-01,-8858.503,3.747421,3.7
BA.N,2022-07-01,-164.041,3.092855,3.5
BA.N,2022-04-01,-920.408,2.325202,3.6
BA.N,2022-01-01,-1728.036,1.515266,4.0
BA.N,2021-10-01,-202.832,1.527139,4.5
BA.N,2021-07-01,148.234,1.444323,5.4
BA.N,2021-04-01,-31.811,1.745787,6.1
BA.N,2021-01-01,-133.235,0.926432,6.3
BA.N,2020-10-01,44.841,0.677434,6.9
BA.N,2020-07-01,-88.509,0.638068,10.2
BA.N,2020-04-01,-11.325,0.671282,14.7
BA.N,2020-01-01,-258.709,1.917061,3.5
BA.N,2019-10-01,-30.53,1.673179,3.6
BA.N,2019-07-01,12.967,1.999952,3.7
BA.N,2019-04-01,-0.037,2.413881,3.6
BA.N,2019-01-01,19.785,2.691309,4.0
BA.N,2018-10-01,3.089,3.055485,3.8
BA.N,2018-07-01,2.125,2.851013,3.8
BA.N,2018-04-01,40.876,2.744341,4.0
BA.N,2018-01-01,5.86,2.41084,4.0
BA.N,2017-10-01,2.232,2.32644,4.2
BA.N,2017-07-01,10.755,2.301898,4.3
BA.N,2017-04-01,3.802,2.394592,4.4
BA.N,2017-01-01,5.118,2.431507,4.7
BA.N,2016-10-01,34.038,1.606498,4.9
BA.N,2016-07-01,52.346,1.491713,4.8
BA.N,2016-04-01,-4.643,1.829833,5.1
BA.N,2016-01-01,25.115,2.304994,4.8
BA.N,2015-10-01,13.71,,5.0
BA.N,2015-07-01,18.306,,5.2
BA.N,2015-04-01,9.056,,5.4
BA.N,2015-01-01,9.672,,5.7
BA.N,2014-10-01,8.569,,5.7
BA.N,2014-07-01,11.636,,6.2
BA.N,2014-04-01,12.878,,6.2
BA.N,2014-01-01,19.722,,6.6
BA.N,2013-10-01,16.347,,7.2
BA.N,2013-07-01,5.965,,7.3
BA.N,2013-04-01,16.63,,7.6
BA.N,2013-01-01,7.391,,8.0
FOX.OQ,2022-10-01,5.878,3.747421,3.7
FOX.OQ,2022-07-01,-1.915,3.092855,3.5
FOX.OQ,2022-04-01,-7.735,2.325202,3.6
FOX.OQ,2022-01-01,295.738,1.515266,4.0
FOX.OQ,2021-10-01,7.441,1.527139,4.5
FOX.OQ,2021-07-01,12.133,1.444323,5.4
FOX.OQ,2021-04-01,50.997,1.745787,6.1
FOX.OQ,2021-01-01,631.738,0.926432,6.3
FOX.OQ,2020-10-01,60.241,0.677434,6.9
FOX.OQ,2020-07-01,9.483,0.638068,10.2
FOX.OQ,2020-04-01,32.393,0.671282,14.7
FOX.OQ,2020-01-01,525.532,1.917061,3.5
FOX.OQ,2019-10-01,19.967,1.673179,3.6
FOX.OQ,2019-07-01,5.326,1.999952,3.7
FOX.OQ,2019-04-01,13.839,,3.6
FOX.OQ,2019-01-01,,,4.0
FOX.OQ,2018-10-01,,,3.8
FOX.OQ,2018-07-01,,,3.8
FOX.OQ,2018-04-01,,,4.0
FOX.OQ,2018-01-01,,,4.0
FOX.OQ,2017-10-01,,,4.2
FOX.OQ,2017-07-01,,,4.3
FOX.OQ,2017-04-01,,,4.4
FOX.OQ,2017-01-01,,,4.7
FOX.OQ,2016-10-01,,,4.9
FOX.OQ,2016-07-01,,,4.8
FOX.OQ,2016-04-01,,,5.1
FOX.OQ,2016-01-01,,,4.8
FOX.OQ,2015-10-01,,,5.0
FOX.OQ,2015-07-01,,,5.2
FOX.OQ,2015-04-01,,,5.4
FOX.OQ,2015-01-01,,,5.7
FOX.OQ,2014-10-01,,,5.7
FOX.OQ,2014-07-01,,,6.2
FOX.OQ,2014-04-01,,,6.2
FOX.OQ,2014-01-01,,,6.6
FOX.OQ,2013-10-01,,,7.2
FOX.OQ,2013-07-01,,,7.3
FOX.OQ,2013-04-01,,,7.6
FOX.OQ,2013-01-01,,,8.0
LIN.N,2022-10-01,5.713,3.53384839524641,3.7
LIN.N,2022-07-01,4.635,2.94105014823835,3.5
LIN.N,2022-04-01,5.55,2.0884838984078,3.6
LIN.N,2022-01-01,3.658,1.38519634175986,4.0
LIN.N,2021-10-01,2.67,1.37666313148704,4.5
LIN.N,2021-07-01,6.467,1.23421249208498,5.4
LIN.N,2021-04-01,10.415,1.59593115052955,6.1
LIN.N,2021-01-01,7.308,0.735883398257987,6.3
LIN.N,2020-10-01,9.123,0.518477152981412,6.9
LIN.N,2020-07-01,15.201,0.465761032302434,10.2
LIN.N,2020-04-01,2.878,0.608631794869657,14.7
LIN.N,2020-01-01,2.908,1.78397724008346,3.5
LIN.N,2019-10-01,8.866,1.58913144535056,3.6
LIN.N,2019-07-01,5.802,1.87326053832934,3.7
LIN.N,2019-04-01,6.119,2.28212281923433,3.6
LIN.N,2019-01-01,-2.504,,4.0
LIN.N,2018-10-01,5.625,,3.8
LIN.N,2018-07-01,1.575,,3.8
LIN.N,2018-04-01,5.988,,4.0
LIN.N,2018-01-01,2.718,,4.0
LIN.N,2017-10-01,3.727,,4.2
LIN.N,2017-07-01,2.477,,4.3
LIN.N,2017-04-01,2.599,,4.4
LIN.N,2017-01-01,0.085,,4.7
LIN.N,2016-10-01,0.345,,4.9
LIN.N,2016-07-01,1.997,,4.8
LIN.N,2016-04-01,0.683,,5.1
LIN.N,2016-01-01,0.28,,4.8
LIN.N,2015-10-01,0.902,,5.0
LIN.N,2015-07-01,-0.405,,5.2
LIN.N,2015-04-01,-0.453,,5.4
LIN.N,2015-01-01,0.262,,5.7
LIN.N,2014-10-01,-0.132,,5.7
LIN.N,2014-07-01,-0.427,,6.2
LIN.N,2014-04-01,0.051,,6.2
LIN.N,2014-01-01,2.762,,6.6
LIN.N,2013-10-01,-0.298,,7.2
LIN.N,2013-07-01,0.412,,7.3
LIN.N,2013-04-01,-0.278,,7.6
LIN.N,2013-01-01,0.283,,8.0
WY.N,2022-10-01,12.48,3.747421,3.7
WY.N,2022-07-01,7.932,3.092855,3.5
WY.N,2022-04-01,10.115,2.325202,3.6
WY.N,2022-01-01,1.825,1.515266,4.0
WY.N,2021-10-01,4.855,1.527139,4.5
WY.N,2021-07-01,-2.76,1.444323,5.4
WY.N,2021-04-01,-0.012,1.745787,6.1
WY.N,2021-01-01,3.375,0.926432,6.3
WY.N,2020-10-01,11.684,0.677434,6.9
WY.N,2020-07-01,2191.667,0.638068,10.2
WY.N,2020-04-01,35.44,0.671282,14.7
WY.N,2020-01-01,-44.954,1.917061,3.5
WY.N,2019-10-01,-18.442,1.673179,3.6
WY.N,2019-07-01,65.975,1.999952,3.7
WY.N,2019-04-01,22.345,2.413881,3.6
WY.N,2019-01-01,-12.587,2.691309,4.0
WY.N,2018-10-01,-24.915,3.055485,3.8
WY.N,2018-07-01,3.61,2.851013,3.8
WY.N,2018-04-01,7.598,2.744341,4.0
WY.N,2018-01-01,-12.161,2.41084,4.0
WY.N,2017-10-01,7.568,2.32644,4.2
WY.N,2017-07-01,3.009,2.301898,4.3
WY.N,2017-04-01,20.219,2.394592,4.4
WY.N,2017-01-01,-13.979,2.431507,4.7
WY.N,2016-10-01,5.418,1.606498,4.9
WY.N,2016-07-01,-23.018,1.491713,4.8
WY.N,2016-04-01,16.76,1.829833,5.1
WY.N,2016-01-01,0.763,2.304994,4.8
WY.N,2015-10-01,29.726,,5.0
WY.N,2015-07-01,27.27,,5.2
WY.N,2015-04-01,-24.303,,5.4
WY.N,2015-01-01,-5.664,,5.7
WY.N,2014-10-01,10.397,,5.7
WY.N,2014-07-01,15.915,,6.2
WY.N,2014-04-01,9.409,,6.2
WY.N,2014-01-01,-3.858,,6.6
WY.N,2013-10-01,26.719,,7.2
WY.N,2013-07-01,18.672,,7.3
WY.N,2013-04-01,13.97,,7.6
WY.N,2013-01-01,25.89,,8.0
MCD.N,2022-10-01,4.004,3.747421,3.7
MCD.N,2022-07-01,3.275,3.092855,3.5
MCD.N,2022-04-01,5.143,2.325202,3.6
MCD.N,2022-01-01,-4.538,1.515266,4.0
MCD.N,2021-10-01,12.16,1.527139,4.5
MCD.N,2021-07-01,12.413,1.444323,5.4
MCD.N,2021-04-01,5.953,1.745787,6.1
MCD.N,2021-01-01,-4.413,0.926432,6.3
MCD.N,2020-10-01,16.759,0.677434,6.9
MCD.N,2020-07-01,-11.405,0.638068,10.2
MCD.N,2020-04-01,-6.115,0.671282,14.7
MCD.N,2020-01-01,0.518,1.917061,3.5
MCD.N,2019-10-01,-4.477,1.673179,3.6
MCD.N,2019-07-01,-0.07,1.999952,3.7
MCD.N,2019-04-01,1.562,2.413881,3.6
MCD.N,2019-01-01,4.348,2.691309,4.0
MCD.N,2018-10-01,5.351,3.055485,3.8
MCD.N,2018-07-01,3.54,2.851013,3.8
MCD.N,2018-04-01,7.11,2.744341,4.0
MCD.N,2018-01-01,7.757,2.41084,4.0
MCD.N,2017-10-01,-0.565,2.32644,4.2
MCD.N,2017-07-01,6.979,2.301898,4.3
MCD.N,2017-04-01,10.159,2.394592,4.4
MCD.N,2017-01-01,1.27,2.431507,4.7
MCD.N,2016-10-01,9.131,1.606498,4.9
MCD.N,2016-07-01,4.738,1.491713,4.8
MCD.N,2016-04-01,5.7,1.829833,5.1
MCD.N,2016-01-01,6.279,2.304994,4.8
MCD.N,2015-10-01,9.821,,5.0
MCD.N,2015-07-01,4.494,,5.2
MCD.N,2015-04-01,-4.514,,5.4
MCD.N,2015-01-01,-7.225,,5.7
MCD.N,2014-10-01,-0.439,,5.7
MCD.N,2014-07-01,-2.624,,6.2
MCD.N,2014-04-01,-2.248,,6.2
MCD.N,2014-01-01,0.482,,6.6
MCD.N,2013-10-01,0.863,,7.2
MCD.N,2013-07-01,-1.644,,7.3
MCD.N,2013-04-01,-0.468,,7.6
MCD.N,2013-01-01,3.704,,8.0
HD.N,2022-10-01,2.957,3.747421,3.7
HD.N,2022-07-01,2.143,3.092855,3.5
HD.N,2022-04-01,11.252,2.325202,3.6
HD.N,2022-01-01,0.99,1.515266,4.0
HD.N,2021-10-01,15.248,1.527139,4.5
HD.N,2021-07-01,1.924,1.444323,5.4
HD.N,2021-04-01,25.383,1.745787,6.1
HD.N,2021-01-01,1.267,0.926432,6.3
HD.N,2020-10-01,3.812,0.677434,6.9
HD.N,2020-07-01,8.286,0.638068,10.2
HD.N,2020-04-01,-8.214,0.671282,14.7
HD.N,2020-01-01,8.342,1.917061,3.5
HD.N,2019-10-01,0.207,1.673179,3.6
HD.N,2019-07-01,2.938,1.999952,3.7
HD.N,2019-04-01,4.153,2.413881,3.6
HD.N,2019-01-01,4.065,2.691309,4.0
HD.N,2018-10-01,11.003,3.055485,3.8
HD.N,2018-07-01,7.374,2.851013,3.8
HD.N,2018-04-01,1.487,2.744341,4.0
HD.N,2018-01-01,3.001,2.41084,4.0
HD.N,2017-10-01,2.621,2.32644,4.2
HD.N,2017-07-01,1.541,2.301898,4.3
HD.N,2017-04-01,3.245,2.394592,4.4
HD.N,2017-01-01,7.801,2.431507,4.7
HD.N,2016-10-01,1.335,1.606498,4.9
HD.N,2016-07-01,-0.071,1.491713,4.8
HD.N,2016-04-01,6.207,1.829833,5.1
HD.N,2016-01-01,6.028,2.304994,4.8
HD.N,2015-10-01,2.988,,5.0
HD.N,2015-07-01,0.198,,5.2
HD.N,2015-04-01,0.925,,5.4
HD.N,2015-01-01,12.061,,5.7
HD.N,2014-10-01,-1.96,,5.7
HD.N,2014-07-01,4.985,,6.2
HD.N,2014-04-01,-2.538,,6.2
HD.N,2014-01-01,2.587,,6.6
HD.N,2013-10-01,6.104,,7.2
HD.N,2013-07-01,2.554,,7.3
HD.N,2013-04-01,8.497,,7.6
HD.N,2013-01-01,4.037,,8.0
SPG.N,2022-10-01,14.783,3.747421,3.7
SPG.N,2022-07-01,5.594,3.092855,3.5
SPG.N,2022-04-01,0.516,2.325202,3.6
SPG.N,2022-01-01,6.25,1.515266,4.0
SPG.N,2021-10-01,62.759,1.527139,4.5
SPG.N,2021-07-01,55.07,1.444323,5.4
SPG.N,2021-04-01,41.079,1.745787,6.1
SPG.N,2021-01-01,-1.714,0.926432,6.3
SPG.N,2020-10-01,-17.96,0.677434,6.9
SPG.N,2020-07-01,-14.959,0.638068,10.2
SPG.N,2020-04-01,-13.123,0.671282,14.7
SPG.N,2020-01-01,6.41,1.917061,3.5
SPG.N,2019-10-01,4.425,1.673179,3.6
SPG.N,2019-07-01,-3.03,1.999952,3.7
SPG.N,2019-04-01,6.587,2.413881,3.6
SPG.N,2019-01-01,21.053,2.691309,4.0
SPG.N,2018-10-01,4.046,3.055485,3.8
SPG.N,2018-07-01,7.708,2.851013,3.8
SPG.N,2018-04-01,6.86,2.744341,4.0
SPG.N,2018-01-01,3.808,2.41084,4.0
SPG.N,2017-10-01,1.103,2.32644,4.2
SPG.N,2017-07-01,-0.673,2.301898,4.3
SPG.N,2017-04-01,3.466,2.394592,4.4
SPG.N,2017-01-01,13.103,2.431507,4.7
SPG.N,2016-10-01,7.732,1.606498,4.9
SPG.N,2016-07-01,1.297,1.491713,4.8
SPG.N,2016-04-01,20.846,1.829833,5.1
SPG.N,2016-01-01,31.132,2.304994,4.8
SPG.N,2015-10-01,5.314,,5.0
SPG.N,2015-07-01,24.183,,5.2
SPG.N,2015-04-01,9.706,,5.4
SPG.N,2015-01-01,-1.683,,5.7
SPG.N,2014-10-01,39.906,,5.7
SPG.N,2014-07-01,48.937,,6.2
SPG.N,2014-04-01,10.474,,6.2
SPG.N,2014-01-01,6.428,,6.6
SPG.N,2013-10-01,5.105,,7.2
SPG.N,2013-07-01,24.47,,7.3
SPG.N,2013-04-01,18.844,,7.6
SPG.N,2013-01-01,-6.654,,8.0
HBAN.OQ,2022-10-01,1.695,3.747421,3.7
HBAN.OQ,2022-07-01,2.657,3.092855,3.5
HBAN.OQ,2022-04-01,-4.715,2.325202,3.6
HBAN.OQ,2022-01-01,-19.783,1.515266,4.0
HBAN.OQ,2021-10-01,-30.741,1.527139,4.5
HBAN.OQ,2021-07-01,22.932,1.444323,5.4
HBAN.OQ,2021-04-01,38.44,1.745787,6.1
HBAN.OQ,2021-01-01,-8.198,0.926432,6.3
HBAN.OQ,2020-10-01,8.482,0.677434,6.9
HBAN.OQ,2020-07-01,198.439,0.638068,10.2
HBAN.OQ,2020-04-01,-82.204,0.671282,14.7
HBAN.OQ,2020-01-01,-10.196,1.917061,3.5
HBAN.OQ,2019-10-01,2.367,1.673179,3.6
HBAN.OQ,2019-07-01,3.054,1.999952,3.7
HBAN.OQ,2019-04-01,1.077,2.413881,3.6
HBAN.OQ,2019-01-01,-10.882,2.691309,4.0
HBAN.OQ,2018-10-01,4.127,3.055485,3.8
HBAN.OQ,2018-07-01,2.613,2.851013,3.8
HBAN.OQ,2018-04-01,-0.111,2.744341,4.0
HBAN.OQ,2018-01-01,-0.82,2.41084,4.0
HBAN.OQ,2017-10-01,-8.549,2.32644,4.2
HBAN.OQ,2017-07-01,-0.895,2.301898,4.3
HBAN.OQ,2017-04-01,-19.636,2.394592,4.4
HBAN.OQ,2017-01-01,-16.744,2.431507,4.7
HBAN.OQ,2016-10-01,-48.047,1.606498,4.9
HBAN.OQ,2016-07-01,-9.091,1.491713,4.8
HBAN.OQ,2016-04-01,-0.512,1.829833,5.1
HBAN.OQ,2016-01-01,-1.731,2.304994,4.8
HBAN.OQ,2015-10-01,-13.174,,5.0
HBAN.OQ,2015-07-01,11.629,,5.2
HBAN.OQ,2015-04-01,-0.121,,5.4
HBAN.OQ,2015-01-01,1.306,,5.7
HBAN.OQ,2014-10-01,-4.474,,5.7
HBAN.OQ,2014-07-01,6.64,,6.2
