,Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise
122,CARR.N,2022-07-28 06:30:00+00:00,0.69,0.61576,12.057
123,CARR.N,2022-04-28 07:54:00+00:00,0.54,0.46786,15.419
124,CARR.N,2022-02-08 06:30:00+00:00,0.44,0.38529,14.2
125,CARR.N,2021-10-28 07:46:00+00:00,0.71,0.6557,8.281
126,EVRG.OQ,2022-11-04 06:10:00+00:00,2.01,1.88389,6.694
127,EVRG.OQ,2022-08-04 07:00:00+00:00,0.86,0.83389,3.131
128,EVRG.OQ,2022-05-05 07:00:00+00:00,0.58,0.553,4.883
129,EVRG.OQ,2022-02-25 07:00:00+00:00,0.16,0.165,-3.03
130,EVRG.OQ,2021-11-03 07:00:00+00:00,1.98,1.76,12.5
131,EVRG.OQ,2021-08-05 07:00:00+00:00,0.85,0.73,16.438
132,COST.OQ,2022-12-08 16:15:00+00:00,3.1,3.11396,-0.448
133,COST.OQ,2022-09-22 16:15:00+00:00,4.2,4.16508,0.838
134,COST.OQ,2022-05-26 16:15:00+00:00,3.17,3.03373,4.492
135,COST.OQ,2022-03-03 16:15:00+00:00,2.92,2.74268,6.465
136,COST.OQ,2021-12-09 16:15:00+00:00,2.98,2.63965,12.894
137,COST.OQ,2021-09-23 16:15:00+00:00,3.9,3.57281,9.158
138,MCO.N,2023-01-31 07:00:00+00:00,1.6,1.43563,11.449
139,MCO.N,2022-10-25 07:04:00+00:00,1.85,2.05606,-10.022
140,MCO.N,2022-07-26 07:23:00+00:00,2.22,2.30213,-3.568
141,MCO.N,2022-05-02 07:00:00+00:00,2.89,2.9025,-0.431
142,MCO.N,2022-02-10 07:00:00+00:00,2.33,2.38864,-2.455
143,MCO.N,2021-10-28 07:00:00+00:00,2.69,2.53687,6.036
144,DIS.N,2023-02-08 16:05:00+00:00,0.99,0.78457,26.184
145,DIS.N,2022-11-08 16:05:00+00:00,0.3,0.54865,-45.32
146,DIS.N,2022-08-10 16:06:00+00:00,1.09,0.96335,13.147
147,DIS.N,2022-05-11 16:05:00+00:00,1.08,1.1865,-8.976
148,DIS.N,2022-02-09 16:07:00+00:00,1.06,0.629,68.522
149,DIS.N,2021-11-10 16:05:00+00:00,0.37,0.50883,-27.284
150,PAYX.OQ,2022-12-22 08:30:00+00:00,0.99,0.94893,4.328
151,PAYX.OQ,2022-09-28 08:30:00+00:00,1.03,0.96969,6.22
152,PAYX.OQ,2022-06-29 08:30:00+00:00,0.81,0.79477,1.916
153,PAYX.OQ,2022-03-30 08:30:00+00:00,1.15,1.04794,9.739
154,PAYX.OQ,2021-12-22 08:30:00+00:00,0.91,0.79782,14.06
155,PAYX.OQ,2021-09-30 08:30:00+00:00,0.89,0.80083,11.135
156,AMD.OQ,2023-01-31 16:15:00+00:00,0.69,0.66807,3.283
157,AMD.OQ,2022-11-01 16:15:00+00:00,0.67,0.68469,-2.146
158,AMD.OQ,2022-08-02 16:05:00+00:00,1.05,1.0333,1.616
159,AMD.OQ,2022-05-03 16:10:00+00:00,1.13,0.91,24.176
160,AMD.OQ,2022-02-01 16:15:00+00:00,0.92,0.75807,21.361
161,AMD.OQ,2021-10-26 16:15:00+00:00,0.73,0.6696,9.02
162,REG.OQ,2023-02-09 17:08:00+00:00,0.56,0.46,21.739
163,REG.OQ,2022-11-03 16:15:00+00:00,0.51,0.45833,11.274
164,REG.OQ,2022-08-04 16:15:00+00:00,0.61,0.44833,36.061
165,REG.OQ,2022-05-03 16:05:00+00:00,1.13,0.43125,162.029
166,REG.OQ,2022-02-10 16:10:00+00:00,0.39,0.46111,-15.422
167,REG.OQ,2021-11-04 16:10:00+00:00,0.69,0.51625,33.656
168,DHI.N,2023-01-24 06:30:00+00:00,2.76,2.25832,22.215
169,DHI.N,2022-11-09 06:30:00+00:00,4.67,5.09188,-8.285
170,DHI.N,2022-07-21 06:30:00+00:00,4.67,4.48795,4.056
171,DHI.N,2022-04-26 06:30:00+00:00,4.03,3.36972,19.595
172,DHI.N,2022-02-02 06:30:00+00:00,3.17,2.78995,13.622
173,DHI.N,2021-11-09 06:30:00+00:00,3.7,3.39582,8.958
174,TRV.N,2023-01-24 06:57:00+00:00,3.4,3.40006,-0.002
175,TRV.N,2022-10-19 06:57:00+00:00,2.2,1.5631,40.746
176,TRV.N,2022-07-21 06:57:00+00:00,2.57,1.96981,30.469
177,TRV.N,2022-04-19 06:57:00+00:00,4.22,3.60505,17.058
178,TRV.N,2022-01-20 07:07:00+00:00,5.2,3.86125,34.671
179,TRV.N,2021-10-19 06:57:00+00:00,2.6,1.66873,55.807
180,BIO.N,2023-02-16 16:05:00+00:00,3.31,3.4482,-4.008
181,BIO.N,2022-10-27 16:05:00+00:00,2.6,2.782,-6.542
182,BIO.N,2022-07-28 16:17:00+00:00,3.38,2.79867,20.772
183,BIO.N,2022-04-28 16:15:00+00:00,4.94,3.40233,45.195
184,BIO.N,2022-02-10 16:15:00+00:00,3.21,2.85075,12.602
185,BIO.N,2021-10-28 16:15:00+00:00,3.71,2.43725,52.221
186,MOS.N,2022-11-07 16:30:00+00:00,3.22,3.39794,-5.237
187,MOS.N,2022-08-01 17:05:00+00:00,3.64,4.04163,-9.937
188,MOS.N,2022-05-02 16:10:00+00:00,2.41,2.39846,0.481
189,MOS.N,2022-02-22 16:10:00+00:00,1.95,1.97813,-1.422
190,MOS.N,2021-11-01 12:30:00+00:00,1.35,1.5614,-13.539
191,MOS.N,2021-08-02 16:07:00+00:00,1.17,0.97519,19.977
192,BWA.N,2023-02-09 06:30:00+00:00,1.26,1.07569,17.134
193,BWA.N,2022-10-27 06:30:00+00:00,1.24,1.03859,19.393
194,BWA.N,2022-08-03 06:30:00+00:00,1.05,0.85359,23.01
195,BWA.N,2022-05-04 06:30:00+00:00,1.05,0.86878,20.859
196,BWA.N,2022-02-15 06:30:00+00:00,1.06,0.74667,41.964
197,BWA.N,2021-11-03 06:30:00+00:00,0.8,0.71933,11.215
198,WDC.OQ,2023-01-31 16:05:00+00:00,-0.42,-0.12211,-243.952
199,WDC.OQ,2022-10-27 08:00:00+00:00,0.2,0.3636,-44.995
200,WDC.OQ,2022-08-05 08:01:00+00:00,1.78,1.72646,3.101
201,WDC.OQ,2022-04-28 16:05:00+00:00,1.65,1.47652,11.749
202,WDC.OQ,2022-01-27 16:01:00+00:00,2.3,2.12584,8.193
203,WDC.OQ,2021-10-28 16:01:00+00:00,2.49,2.44781,1.724
204,VTR.N,2023-02-09 16:09:00+00:00,-0.11,-0.00125,-8700.0
205,VTR.N,2022-11-03 16:10:00+00:00,0.003,0.02444,-87.725
206,VTR.N,2022-08-04 16:35:00+00:00,-0.11,0.01,-1200.0
207,VTR.N,2022-05-05 17:35:00+00:00,0.1,-0.01143,975.0
208,VTR.N,2022-02-17 16:30:00+00:00,-0.1,-0.03,-233.333
209,VTR.N,2021-11-05 06:55:00+00:00,0.16,0.045,255.556
210,IVZ.N,2023-01-24 06:55:00+00:00,0.39,0.36246,7.598
211,IVZ.N,2022-10-25 06:55:00+00:00,0.34,0.412,-17.476
212,IVZ.N,2022-07-27 06:55:00+00:00,0.39,0.51555,-24.353
213,IVZ.N,2022-04-26 06:55:00+00:00,0.56,0.62267,-10.065
214,IVZ.N,2022-01-25 06:55:00+00:00,0.86,0.75942,13.244
215,IVZ.N,2021-10-26 06:55:00+00:00,0.77,0.73055,5.401
216,ZBRA.OQ,2023-02-16 06:30:00+00:00,4.75,4.58936,3.5
217,ZBRA.OQ,2022-11-01 06:30:00+00:00,4.12,4.53667,-9.185
218,ZBRA.OQ,2022-08-02 06:30:00+00:00,4.61,4.208,9.553
219,ZBRA.OQ,2022-05-03 06:30:00+00:00,4.01,3.866,3.725
220,ZBRA.OQ,2022-02-10 06:30:00+00:00,4.54,4.39727,3.246
221,ZBRA.OQ,2021-11-02 06:30:00+00:00,4.55,4.0594,12.086
222,AMAT.OQ,2023-02-16 16:01:00+00:00,2.03,1.93252,5.044
223,AMAT.OQ,2022-11-17 16:01:00+00:00,2.03,1.72755,17.508
224,AMAT.OQ,2022-08-18 16:01:00+00:00,1.94,1.79373,8.155
225,AMAT.OQ,2022-05-19 16:26:00+00:00,1.85,1.90065,-2.665
226,AMAT.OQ,2022-02-16 16:01:00+00:00,1.89,1.85488,1.893
227,AMAT.OQ,2021-11-18 16:01:00+00:00,1.94,1.95346,-0.689
228,STX.OQ,2023-01-25 16:05:00+00:00,0.16,0.0969,65.119
229,STX.OQ,2022-10-26 08:00:00+00:00,0.48,0.72095,-33.421
230,STX.OQ,2022-07-21 16:05:00+00:00,1.59,1.89891,-16.268
231,STX.OQ,2022-04-27 08:05:00+00:00,1.81,1.83905,-1.58
232,STX.OQ,2022-01-26 16:05:00+00:00,2.41,2.36558,1.878
233,STX.OQ,2021-10-22 08:05:00+00:00,2.35,2.2215,5.784
234,FDS.N,2022-12-20 07:00:00+00:00,3.99,3.60814,10.583
235,FDS.N,2022-09-22 07:00:00+00:00,3.13,3.20362,-2.298
236,FDS.N,2022-06-23 07:00:00+00:00,3.76,3.23115,16.367
237,FDS.N,2022-03-24 07:24:00+00:00,3.27,2.97514,9.911
238,FDS.N,2021-12-21 06:55:00+00:00,3.25,2.995,8.514
239,FDS.N,2021-09-28 06:53:00+00:00,2.63,2.724,-3.451
240,SYK.N,2023-01-31 16:05:00+00:00,3.0,2.83712,5.741
241,SYK.N,2022-10-31 16:05:00+00:00,2.12,2.23,-4.933
242,SYK.N,2022-07-26 16:05:00+00:00,2.25,2.27691,-1.182
243,SYK.N,2022-04-28 16:05:00+00:00,1.97,1.94552,1.258
244,SYK.N,2022-01-27 16:05:00+00:00,2.71,2.72338,-0.491
245,SYK.N,2021-10-28 16:05:00+00:00,2.2,2.28196,-3.592
246,VRSN.OQ,2023-02-09 16:05:00+00:00,1.7,1.613,5.394
247,VRSN.OQ,2022-10-27 16:05:00+00:00,1.58,1.54,2.597
248,VRSN.OQ,2022-07-28 16:05:00+00:00,1.54,1.52,1.316
249,VRSN.OQ,2022-04-28 16:05:00+00:00,1.43,1.45,-1.379
250,VRSN.OQ,2022-02-10 16:05:00+00:00,1.48,1.41,4.965
251,VRSN.OQ,2021-10-28 16:37:00+00:00,1.4,1.365,2.564
252,TECH.OQ,2023-02-02 06:30:00+00:00,0.47,0.61977,-24.165
253,TECH.OQ,2022-11-01 06:30:00+00:00,0.445,0.59493,-25.201
254,TECH.OQ,2022-08-04 06:30:00+00:00,0.5125,0.51933,-1.314
255,TECH.OQ,2022-05-04 06:30:00+00:00,0.535,0.49933,7.145
256,TECH.OQ,2022-02-01 06:35:00+00:00,0.47,0.44818,4.87
257,TECH.OQ,2021-11-02 06:33:00+00:00,0.4575,0.43038,6.303
258,NVR.N,2023-01-31 09:00:00+00:00,133.441,98.88429,34.947
259,NVR.N,2022-10-25 09:00:00+00:00,118.51,121.71286,-2.632
260,NVR.N,2022-07-26 09:00:00+00:00,123.65,126.76571,-2.458
261,NVR.N,2022-04-26 09:00:00+00:00,116.56,96.97714,20.193
262,NVR.N,2022-02-01 09:00:00+00:00,89.09,99.76286,-10.698
263,NVR.N,2021-10-21 09:00:00+00:00,86.44,88.77333,-2.628
264,BBWI.N,2022-11-16 16:15:00+00:00,0.4,0.19777,102.255
265,BBWI.N,2022-08-17 16:15:00+00:00,0.52,0.44437,17.02
266,BBWI.N,2022-05-18 16:15:00+00:00,0.64,0.52665,21.523
267,BBWI.N,2022-02-23 16:15:00+00:00,2.3,2.27021,1.312
268,BBWI.N,2021-11-17 16:15:00+00:00,0.92,0.60494,52.081
269,BBWI.N,2021-08-18 16:15:00+00:00,1.34,0.80539,66.379
270,LOW.N,2022-11-16 06:00:00+00:00,3.27,3.1025,5.399
271,LOW.N,2022-08-17 06:00:00+00:00,4.67,4.58467,1.861
272,LOW.N,2022-05-18 06:02:00+00:00,3.51,3.22421,8.864
273,LOW.N,2022-02-23 06:02:00+00:00,1.78,1.70815,4.206
274,LOW.N,2021-11-17 06:02:00+00:00,2.73,2.35641,15.854
275,LOW.N,2021-08-18 06:00:00+00:00,4.25,4.012,5.932
276,BSX.N,2023-02-01 06:30:00+00:00,0.49,0.47364,3.454
277,BSX.N,2022-10-26 06:30:00+00:00,0.43,0.44113,-2.523
278,BSX.N,2022-07-27 06:30:00+00:00,0.44,0.42439,3.678
279,BSX.N,2022-04-27 06:30:00+00:00,0.39,0.38558,1.146
280,BSX.N,2022-02-02 06:30:00+00:00,0.45,0.43904,2.496
281,BSX.N,2021-10-27 06:30:00+00:00,0.41,0.39608,3.514
282,SYY.N,2023-01-31 08:00:00+00:00,0.8,0.84314,-5.117
283,SYY.N,2022-11-01 08:08:00+00:00,0.97,0.99487,-2.5
284,SYY.N,2022-08-09 08:00:00+00:00,1.15,1.11236,3.384
285,SYY.N,2022-05-10 08:00:00+00:00,0.71,0.55179,28.672
286,SYY.N,2022-02-08 08:00:00+00:00,0.57,0.71315,-20.073
287,SYY.N,2021-11-09 08:08:00+00:00,0.83,0.86418,-3.955
288,FCX.N,2023-01-25 08:00:00+00:00,0.52,0.46036,12.956
289,FCX.N,2022-10-20 08:00:00+00:00,0.26,0.24429,6.431
290,FCX.N,2022-07-21 08:00:00+00:00,0.58,0.61353,-5.465
291,FCX.N,2022-04-21 08:00:00+00:00,1.07,0.93831,14.035
292,FCX.N,2022-01-26 08:00:00+00:00,0.96,0.95613,0.405
293,FCX.N,2021-10-21 07:55:00+00:00,0.89,0.81053,9.804
294,MAS.N,2023-02-09 07:00:00+00:00,0.65,0.67255,-3.353
295,MAS.N,2022-10-26 07:14:00+00:00,0.98,1.057,-7.285
296,MAS.N,2022-07-28 07:00:00+00:00,1.14,1.19055,-4.246
297,MAS.N,2022-04-27 07:00:00+00:00,0.95,0.84684,12.182
298,MAS.N,2022-02-08 07:09:00+00:00,0.67,0.68521,-2.22
299,MAS.N,2021-10-27 07:10:00+00:00,0.99,0.88041,12.448
300,BEN.N,2023-01-30 08:30:00+00:00,0.51,0.53709,-5.044
301,BEN.N,2022-11-01 08:30:00+00:00,0.78,0.6744,15.658
302,BEN.N,2022-07-28 08:30:00+00:00,0.82,0.7332,11.839
303,BEN.N,2022-05-03 08:30:00+00:00,0.96,0.8173,17.46
304,BEN.N,2022-02-01 08:30:00+00:00,1.08,0.8876,21.676
305,BEN.N,2021-11-01 08:30:00+00:00,1.26,0.8607,46.393
306,META.OQ,2023-02-01 16:05:00+00:00,1.76,2.21658,-20.598
307,META.OQ,2022-10-26 16:05:00+00:00,1.64,1.88695,-13.087
308,META.OQ,2022-07-27 16:05:00+00:00,2.46,2.58821,-4.954
309,META.OQ,2022-04-27 16:05:00+00:00,2.72,2.55753,6.353
310,META.OQ,2022-02-02 16:08:00+00:00,3.67,3.83851,-4.39
311,META.OQ,2021-10-25 16:05:00+00:00,3.22,3.18859,0.985
312,EXPD.OQ,2023-02-21 08:30:00+00:00,1.38,1.96477,-29.763
313,EXPD.OQ,2022-11-08 08:30:00+00:00,2.54,1.946,30.524
314,EXPD.OQ,2022-08-02 08:30:00+00:00,2.269,2.12757,6.648
315,EXPD.OQ,2022-05-03 08:30:00+00:00,2.05,1.74362,17.572
316,EXPD.OQ,2022-02-22 08:30:00+00:00,2.66,2.08075,27.839
317,EXPD.OQ,2021-11-02 08:30:00+00:00,2.09,1.76846,18.182
318,PAYC.N,2023-02-07 16:05:00+00:00,1.73,1.48767,16.289
319,PAYC.N,2022-11-01 16:05:00+00:00,1.27,1.18224,7.423
320,PAYC.N,2022-08-02 16:05:00+00:00,1.26,1.1184,12.661
321,PAYC.N,2022-05-03 16:08:00+00:00,1.9,1.74914,8.625
322,PAYC.N,2022-02-08 16:05:00+00:00,1.11,1.08286,2.506
323,PAYC.N,2021-11-02 16:05:00+00:00,0.92,0.90492,1.666
324,EXPE.OQ,2023-02-09 16:01:00+00:00,1.26,1.66768,-24.446
325,EXPE.OQ,2022-11-03 16:01:00+00:00,4.05,4.12088,-1.72
326,EXPE.OQ,2022-08-04 16:01:00+00:00,1.96,1.56384,25.333
327,EXPE.OQ,2022-05-02 16:01:00+00:00,-0.47,-0.6237,24.643
328,EXPE.OQ,2022-02-10 16:06:00+00:00,1.06,0.68595,54.53
329,EXPE.OQ,2021-11-04 16:01:00+00:00,3.53,1.65292,113.562
330,RJF.N,2023-01-25 16:40:00+00:00,2.29,2.2792,0.474
331,RJF.N,2022-10-26 16:21:00+00:00,2.08,2.00033,3.983
332,RJF.N,2022-07-27 16:42:00+00:00,1.61,1.66,-3.012
333,RJF.N,2022-04-27 16:21:00+00:00,1.55,1.63811,-5.379
334,RJF.N,2022-01-26 16:52:00+00:00,2.12,1.761,20.386
335,RJF.N,2021-10-27 16:18:00+00:00,2.06,1.706,20.75
336,CL.N,2023-01-27 06:55:00+00:00,0.77,0.76367,0.829
337,CL.N,2022-10-28 06:55:00+00:00,0.74,0.73212,1.076
338,CL.N,2022-07-29 06:55:00+00:00,0.72,0.70906,1.543
339,CL.N,2022-04-29 06:55:00+00:00,0.74,0.74444,-0.596
340,CL.N,2022-01-28 06:55:00+00:00,0.79,0.78629,0.472
341,CL.N,2021-10-29 06:55:00+00:00,0.81,0.79481,1.911
342,VICI.N,2022-10-27 16:15:00+00:00,0.34,0.57067,-40.421
343,VICI.N,2022-07-27 16:15:00+00:00,0.47,0.402,16.915
344,VICI.N,2022-05-04 16:15:00+00:00,0.35,0.41922,-16.512
345,VICI.N,2022-02-23 16:16:00+00:00,0.44,0.45267,-2.799
346,VICI.N,2021-10-27 16:15:00+00:00,0.28,0.47063,-40.505
347,VICI.N,2021-07-28 16:24:00+00:00,0.54,0.4953,9.025
348,CE.N,2022-11-03 16:41:00+00:00,3.94,3.97613,-0.909
349,CE.N,2022-07-28 16:50:00+00:00,4.99,4.56024,9.424
350,CE.N,2022-04-28 23:54:00+00:00,5.54,4.51738,22.638
351,CE.N,2022-01-27 16:29:00+00:00,4.91,5.04771,-2.728
352,CE.N,2021-10-21 16:15:00+00:00,4.82,4.74981,1.478
353,CE.N,2021-07-22 16:30:00+00:00,5.02,4.46324,12.474
354,UNH.N,2023-01-13 05:55:00+00:00,5.34,5.16782,3.332
355,UNH.N,2022-10-14 05:56:00+00:00,5.79,5.42157,6.796
356,UNH.N,2022-07-15 05:55:00+00:00,5.57,5.19936,7.129
357,UNH.N,2022-04-14 05:55:00+00:00,5.49,5.3765,2.111
358,UNH.N,2022-01-19 05:55:00+00:00,4.48,4.30542,4.055
359,UNH.N,2021-10-14 05:55:00+00:00,4.52,4.41017,2.49
360,ARE.N,2023-01-30 16:10:00+00:00,0.31,0.69,-55.073
361,ARE.N,2022-10-24 16:15:00+00:00,2.11,0.67667,211.821
362,ARE.N,2022-07-25 16:19:00+00:00,1.67,0.66,153.03
363,ARE.N,2022-04-25 16:20:00+00:00,-0.96,0.7525,-227.575
364,ARE.N,2022-01-31 16:10:00+00:00,0.47,0.65,-27.692
365,ARE.N,2021-10-25 16:15:00+00:00,0.67,0.62,8.065
366,GEN.OQ,2023-02-02 16:02:00+00:00,0.45,0.42667,5.468
367,GEN.OQ,2022-11-08 16:07:00+00:00,0.45,0.445,1.124
368,GEN.OQ,2022-08-04 16:11:00+00:00,0.45,0.42667,5.468
369,GEN.OQ,2022-05-05 16:51:00+00:00,0.46,0.4475,2.793
370,GEN.OQ,2022-02-03 16:02:00+00:00,0.44,0.4325,1.734
371,GEN.OQ,2021-11-04 16:08:00+00:00,0.43,0.42167,1.976
372,LLY.N,2023-02-02 06:45:00+00:00,2.09,1.78006,17.412
373,LLY.N,2022-11-01 06:30:00+00:00,1.98,1.91687,3.293
374,LLY.N,2022-08-04 06:25:00+00:00,1.25,1.68857,-25.973
375,LLY.N,2022-04-28 06:25:00+00:00,2.77,2.32293,19.246
376,LLY.N,2022-02-03 06:25:00+00:00,2.49,2.45867,1.274
377,LLY.N,2021-10-26 06:27:00+00:00,1.94,1.97755,-1.899
378,CDAY.N,2023-02-08 16:15:00+00:00,0.23,0.12031,91.173
379,CDAY.N,2022-11-02 16:24:00+00:00,0.2,0.12357,61.852
380,CDAY.N,2022-08-03 16:15:00+00:00,0.21,0.1,110.0
381,CDAY.N,2022-05-04 16:28:00+00:00,0.13,0.08064,61.21
382,CDAY.N,2022-02-09 16:37:00+00:00,0.06,0.03169,89.32
383,CDAY.N,2021-11-03 16:15:00+00:00,0.05,0.04517,10.693
384,GRMN.N,2022-10-26 07:00:00+00:00,1.24,1.128,9.929
385,GRMN.N,2022-07-27 07:00:00+00:00,1.44,1.4,2.857
386,GRMN.N,2022-04-27 07:02:00+00:00,1.11,1.12667,-1.48
387,GRMN.N,2022-02-16 07:00:00+00:00,1.55,1.42571,8.718
388,GRMN.N,2021-10-27 07:00:00+00:00,1.41,1.25857,12.032
389,GRMN.N,2021-07-28 07:00:00+00:00,1.68,1.25563,33.797
390,NWL.OQ,2023-02-10 07:03:00+00:00,0.16,0.11455,39.677
391,NWL.OQ,2022-10-28 07:00:00+00:00,0.53,0.46546,13.866
392,NWL.OQ,2022-07-29 07:00:00+00:00,0.57,0.46973,21.346
393,NWL.OQ,2022-04-29 07:30:00+00:00,0.36,0.27058,33.048
394,NWL.OQ,2022-02-11 07:00:00+00:00,0.42,0.32433,29.498
395,NWL.OQ,2021-10-29 07:00:00+00:00,0.54,0.49692,8.669
396,ISRG.OQ,2023-01-24 16:05:00+00:00,1.23,1.25083,-1.666
397,ISRG.OQ,2022-10-18 16:08:00+00:00,1.19,1.11935,6.312
398,ISRG.OQ,2022-07-21 16:05:00+00:00,1.14,1.18688,-3.95
399,ISRG.OQ,2022-04-21 16:05:00+00:00,1.13,1.07859,4.766
400,ISRG.OQ,2022-01-20 16:10:00+00:00,1.3,1.27917,1.628
401,ISRG.OQ,2021-10-19 14:45:00+00:00,1.19,1.16624,2.038
402,AVB.N,2023-02-08 18:39:00+00:00,1.72,1.52444,12.828
403,AVB.N,2022-11-03 16:15:00+00:00,3.53,1.26,180.159
404,AVB.N,2022-07-27 16:15:00+00:00,0.99,0.92167,7.414
405,AVB.N,2022-04-27 16:15:00+00:00,0.82,0.87333,-6.107
406,AVB.N,2022-02-02 16:18:00+00:00,2.4,0.99778,140.534
407,AVB.N,2021-10-27 16:15:00+00:00,0.56,0.76889,-27.168
408,TPR.N,2023-02-09 06:45:00+00:00,1.36,1.26988,7.097
409,TPR.N,2022-11-10 06:45:00+00:00,0.79,0.754,4.775
410,TPR.N,2022-08-18 06:44:00+00:00,0.78,0.77244,0.979
411,TPR.N,2022-05-12 06:46:00+00:00,0.51,0.41247,23.645
412,TPR.N,2022-02-10 06:45:00+00:00,1.33,1.1839,12.341
413,TPR.N,2021-11-11 06:45:00+00:00,0.82,0.6964,17.748
414,CBRE.N,2022-10-27 06:55:00+00:00,1.13,1.26,-10.318
415,CBRE.N,2022-08-04 06:55:00+00:00,1.83,1.39714,30.982
416,CBRE.N,2022-05-05 06:55:00+00:00,1.39,1.07625,29.152
417,CBRE.N,2022-02-24 07:04:00+00:00,1.8,1.78,1.124
418,CBRE.N,2021-10-28 07:00:00+00:00,1.39,1.19,16.807
419,CBRE.N,2021-07-29 06:55:00+00:00,1.36,0.7675,77.199
420,CINF.OQ,2023-02-06 16:05:00+00:00,1.27,1.3075,-2.868
421,CINF.OQ,2022-10-31 16:05:00+00:00,0.73,0.67429,8.262
422,CINF.OQ,2022-07-27 16:05:00+00:00,0.65,1.062,-38.795
423,CINF.OQ,2022-04-28 16:05:00+00:00,1.58,1.47167,7.361
424,CINF.OQ,2022-02-15 16:05:00+00:00,1.97,1.34833,46.107
425,CINF.OQ,2021-10-27 16:05:00+00:00,1.28,0.87167,46.845
426,SEE.N,2023-02-09 07:00:00+00:00,0.99,0.97667,1.365
427,SEE.N,2022-11-01 07:00:00+00:00,0.98,0.90106,8.761
428,SEE.N,2022-08-02 07:00:00+00:00,1.01,0.97341,3.759
429,SEE.N,2022-05-03 07:00:00+00:00,1.12,0.92982,20.453
430,SEE.N,2022-02-17 07:00:00+00:00,1.12,1.12929,-0.823
431,SEE.N,2021-11-02 07:00:00+00:00,0.86,0.82356,4.425
432,WMB.N,2023-02-20 16:15:00+00:00,0.55,0.4867,13.006
433,WMB.N,2022-10-31 16:15:00+00:00,0.49,0.4356,12.489
434,WMB.N,2022-08-01 16:20:00+00:00,0.33,0.369,-10.569
435,WMB.N,2022-05-02 16:15:00+00:00,0.41,0.35346,15.998
436,WMB.N,2022-02-21 16:15:00+00:00,0.39,0.341,14.37
437,WMB.N,2021-11-01 16:15:00+00:00,0.34,0.28309,20.103
438,EA.OQ,2023-01-31 16:01:00+00:00,2.8,3.0495,-8.182
439,EA.OQ,2022-11-01 16:01:00+00:00,1.45,1.36831,5.97
440,EA.OQ,2022-08-02 16:01:00+00:00,0.47,0.2832,65.961
441,EA.OQ,2022-05-10 16:01:00+00:00,1.46,1.43065,2.052
442,EA.OQ,2022-02-01 16:01:00+00:00,3.2,3.21568,-0.488
443,EA.OQ,2021-11-03 16:05:00+00:00,1.58,1.16748,35.334
444,TMUS.OQ,2023-02-01 06:58:00+00:00,1.18,1.09705,7.561
445,TMUS.OQ,2022-10-27 16:02:00+00:00,0.4,0.04358,817.852
446,TMUS.OQ,2022-07-27 06:56:00+00:00,0.43,0.2457,75.01
447,TMUS.OQ,2022-04-27 06:55:00+00:00,0.57,0.32517,75.293
448,TMUS.OQ,2022-02-02 16:20:00+00:00,0.34,0.15205,123.611
449,TMUS.OQ,2021-11-02 16:01:00+00:00,0.55,0.52978,3.817
450,CB.N,2023-01-31 16:15:00+00:00,4.05,4.2545,-4.807
451,CB.N,2022-10-25 16:45:00+00:00,3.17,2.59324,22.241
452,CB.N,2022-07-26 16:15:00+00:00,4.2,3.62424,15.886
453,CB.N,2022-04-26 16:05:00+00:00,3.82,3.47845,9.819
454,CB.N,2022-02-01 16:22:00+00:00,3.81,3.2915,15.753
455,CB.N,2021-10-26 16:05:00+00:00,2.64,2.15822,22.323
456,TXN.OQ,2023-01-24 16:04:00+00:00,2.13,1.98052,7.548
457,TXN.OQ,2022-10-25 16:01:00+00:00,2.45,2.39446,2.32
458,TXN.OQ,2022-07-26 16:01:00+00:00,2.45,2.11763,15.695
459,TXN.OQ,2022-04-26 16:01:00+00:00,2.35,2.17662,7.966
460,TXN.OQ,2022-01-25 16:01:00+00:00,2.27,1.94316,16.82
461,TXN.OQ,2021-10-26 16:01:00+00:00,2.07,2.05277,0.839
462,MDLZ.OQ,2023-01-31 16:05:00+00:00,0.73,0.70345,3.774
463,MDLZ.OQ,2022-11-01 16:05:00+00:00,0.74,0.68663,7.773
464,MDLZ.OQ,2022-07-26 16:17:00+00:00,0.67,0.63861,4.915
465,MDLZ.OQ,2022-04-26 16:05:00+00:00,0.84,0.74315,13.032
466,MDLZ.OQ,2022-01-27 16:17:00+00:00,0.72,0.72425,-0.587
467,MDLZ.OQ,2021-11-02 16:05:00+00:00,0.7,0.69963,0.053
468,BRO.N,2023-01-23 17:31:00+00:00,0.5,0.45767,9.249
469,BRO.N,2022-10-24 17:36:00+00:00,0.5,0.60573,-17.455
470,BRO.N,2022-07-25 17:13:00+00:00,0.51,0.48891,4.314
471,BRO.N,2022-04-25 17:40:00+00:00,0.78,0.7548,3.339
472,BRO.N,2022-01-24 17:04:00+00:00,0.42,0.38733,8.435
473,BRO.N,2021-10-25 17:04:00+00:00,0.58,0.52778,9.895
474,BALL.N,2023-02-02 06:02:00+00:00,0.44,0.546,-19.414
475,BALL.N,2022-11-03 06:00:00+00:00,0.75,0.79853,-6.077
476,BALL.N,2022-08-04 06:00:00+00:00,0.82,0.90124,-9.014
477,BALL.N,2022-05-05 05:30:00+00:00,0.77,0.82865,-7.078
